qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-i_578335-checked_1.fq Relative Abundance (%)	swh-i_578335-checked_1.fq Mean	swh-i_578335-checked_1.fq RPKM	swh-i_578335-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_4443404_1	k141_4443404	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	70	70	1	70	115	1	70	8.519999999999999e-42	130.0		multidrug	multidrug__qacEdelta1								IV	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__Brachymonas sp018054915							o__Rhizobiales	5.157024	f__Burkholderiaceae_B	71.513529	g__Brachymonas	15.826567	s__Brachymonas sp018054915	15.826567
k141_4500141_8	k141_4500141	YP_002552549	87.4	238	240	1	238	274	36	273	6.86e-149	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	13.3405695		bin_95	Binning	bin_95	0.38823038	28.090355	8.692295	24870.998	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825							o__Selenomonadales	14.903399	f__Rhodobacteraceae	13.4110725	g__Giesbergeria	28.090355	s__Giesbergeria sp010020825	28.090355
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_42	Hi-C	bin_42	0.09731415	7.0411515	2.1342337	6106.619	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Gemmobacter	s__							o__Xanthomonadales	7.9781895	f__Xanthobacteraceae	5.157024	g__Gemmobacter	7.0411515	s__Megamonas funiformis	14.903399
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_38	Hi-C	bin_38	0.08803722	6.369921	1.9259756	5510.734	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus	s__									f__Moraxellaceae	5.09817	g__Amaricoccus	6.369921	s__Pseudoxanthomonas_A mexicana	7.9781895
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_22	Hi-C	bin_22	0.07127406	5.157024	1.5527989	4442.9756	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__P52-10;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__P52-10	s__									f__Selenomonadaceae	14.903399	g__P52-10	5.157024	s__Sphaerotilus sulfidivorans	27.596607
k141_1306585_97	k141_1306585	YP_581244	88.9	280	281	1	280	280	1	280	1.43e-176	486.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.06374		bin_41	Binning	bin_41	0.07046064	5.09817	1.545203	4421.2417	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__									f__Xanthomonadaceae	7.9781895	g__Psychrobacter	5.09817	s__Bacteroides uniformis	16.29645
k141_181694_2	k141_181694	BAB71966	80.3	421	422	1	421	420	1	420	5.19e-238	654.0		tetracycline	tetracycline__tetA(P)	tetA(P)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.5280237		bin_84	Binning	bin_84	0.2059765	14.903399	4.503268	12885.063	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis											g__Megamonas	14.903399		
k141_3224773_4	k141_3224773	gb|CAQ53840.1|ARO:3000853|AIM-1	97.4	303	304	1	303	303	1	303	4.2e-217	591.0		beta_lactam	beta_lactam__AIM-1	AIM-1	Enzymatic inactivation	Class B3 beta-lactamase		Yes	Yes	Yes	IV	genome	6.0017986		bin_58	Binning	bin_58	0.11026474	7.9781895	2.3922095	6844.756	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas_A	s__Pseudoxanthomonas_A mexicana											g__Pseudoxanthomonas_A	7.9781895		
k141_2959960_1	k141_2959960	AAU89126	99.6	463	464	1	463	463	1	463	0.0	921.0		aminoglycoside	aminoglycoside__ANT(3'')-Ii-AAC(6')-IId fusion protein	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	81.20887	unmob	bin_28	Hi-C	bin_28	0.3814064	27.596607	8.337647	23856.258	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Sphaerotilus;s__Sphaerotilus sulfidivorans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Sphaerotilus	s__Sphaerotilus sulfidivorans											g__Sphaerotilus	27.596607		
k141_3940472_2	k141_3940472	P30898	99.7	296	297	1	296	296	1	296	9.52e-215	584.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	16.397469		bin_49	Binning	bin_49	0.22522952	16.29645	4.9166765	14067.939	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis											g__Bacteroides	16.29645		
