qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-i_577286-checked_1.fq Relative Abundance (%)	sh-i_577286-checked_1.fq Mean	sh-i_577286-checked_1.fq RPKM	sh-i_577286-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_2887552_2	k141_2887552	gb|ACJ63262.1|ARO:3003107|mefB	97.1	409	410	1	409	409	1	409	1.0199999999999998e-282	766.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	7.384063	unmob	bin_61	Binning	bin_61	0.4915828	31.345335	7.378597	23978.916	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_I	s__Bacteroides_I graminisolvens							o__Oscillospirales	6.831798	f__Sedimenticolaceae	8.064209	g__HKST-UBA178	8.064209		
k141_4173660_1	k141_4173660	gb|AAC75314.1|ARO:3003578|pmrF	90.7	54	67	1	54	322	262	315	5.0899999999999994e-30	105.0		polymyxin	polymyxin__pmrF	pmrF	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	2.3495417		bin_22	Binning	bin_22	0.12646943	8.064209	1.9078261	6200.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__HKST-UBA178;s__HKST-UBA178 sp020445405	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__HKST-UBA178	s__HKST-UBA178 sp020445405							o__Thiotrichales	6.265927	f__Ruminococcaceae	6.831798	g__JAEZYS01	6.831798		
k141_4872173_1	k141_4872173	AAY68306	97.1	348	348	1	348	405	1	348	6.219999999999998e-230	629.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	7.7888365	unmob	bin_68	Hi-C	bin_68	0.10714176	6.831798	1.6150159	5248.469	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAEZYS01;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__JAEZYS01	s__									f__Burkholderiaceae_B	28.025375	g__Fibro-01	3.0621603		
k141_807959_1	k141_807959	NC_002758.1120355.p01	99.1	106	107	1	106	639	534	639	6.25e-70	218.0		tetracycline	tetracycline__tet(M)	tet(M)	Antibiotic target protection			Yes	Yes	Yes	III	genome	7.9252777		bin_70	Binning	bin_70	0.048023265	3.0621603	0.7134705	2318.6313	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibro-01;s__Fibro-01 sp001462345	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibro-01	s__Fibro-01 sp001462345									f__Thiotrichaceae	6.265927	g__Brachymonas	9.379567		
k141_4593837_1	k141_4593837	KJ363320.1.gene3.p01	100.0	38	38	1	38	259	1	38	7.82e-19	73.9		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	4.22326		bin_60	Binning	bin_60	0.14709793	9.379567	2.2177007	7207.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__											g__Thiothrix	6.265927		
k141_489036_20	k141_489036	gi|38231197|gb|AAR14532.1|	92.6	258	260	2	259	263	6	263	1.44e-171	472.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	genome	15.657562		bin_32	Binning	bin_32	0.09826731	6.265927	1.4760371	4796.817	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__Thiothrix nivea											g__Ottowia	18.645808000000002		
k141_3577239_2	k141_3577239	YP_002552549	83.6	274	275	1	274	274	1	274	1.6300000000000002e-163	453.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.347303		bin_45	Binning	bin_45	0.15224317	9.707648	2.2967296	7463.8984	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955														
k141_4976384_17	k141_4976384	YP_002552549	80.3	269	270	1	269	274	6	274	2.6299999999999997e-147	412.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.102018		bin_29	Binning	bin_29	0.14017543	8.93816	2.131575	6927.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp018240925														
k141_5255663_6	k141_5255663	gb|AAF42062.1|ARO:3000811|mtrD	83.8	68	90	1	68	1067	974	1041	1.7900000000000002e-31	114.0	multicomponent system	multidrug	multidrug__mtrD	mtrD	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.9211512		bin_113	Binning	bin_113	0.04988828	3.181081	0.74315244	2415.0916	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__														
k141_3034056_2	k141_3034056	FN594949.1.gene24.p01	96.7	640	641	1	640	640	1	640	0.0	1233.0		tetracycline	tetracycline__tet(44)	tet(44)	Antibiotic target protection			Yes	Yes	Yes	III	genome	5.9948115		bin_35	Binning	bin_35	0.2901185	18.499144	4.3845215	14248.788	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__														
