qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-e_577476-checked_1.fq Relative Abundance (%)	s-e_577476-checked_1.fq Mean	s-e_577476-checked_1.fq RPKM	s-e_577476-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_3925420_27	k141_3925420	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	3.57e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	5.8272862		bin_85	Binning	bin_85	0.12283109	6.8150516	1.2877632	4792.7563	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Francisellales	2.3438745	f__Saprospiraceae	8.667439	g__Piscinibacter	15.732979	s__OLB8 sp018057925	8.667439
k141_3157367_44	k141_3157367	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	21.218569		bin_47	Binning	bin_47	0.44797117	24.854836	4.6810822	17421.898	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium insubricum							o__Paracaedibacterales	3.1883028	f__Flavobacteriaceae	4.678389	g__OLB8	8.667439	s__Sterolibacterium sp018062105	3.5770202
k141_3311021_5	k141_3311021	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	66.66336	unmob	bin_134	Hi-C	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__							o__Xanthomonadales	11.247307	f__Francisellaceae	2.3438745	g__Sterolibacterium	3.5770202	s__Caedibacter taeniospiralis	2.3438745
k141_1676786_132	k141_1676786	gb|CAA03986.1|ARO:3000343|tap	82.2	404	418	1	404	409	1	404	8.95e-226	622.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.629546		bin_39	Binning	bin_39	0.20881161	11.585518	2.1981285	8180.924	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Selenomonadales	3.776164	f__CAITNM01	3.1883028	g__Flavobacterium	4.678389	s__Ottowia sp018240925	10.999825
k141_69535_39	k141_69535	YP_550152	81.2	271	275	2	272	277	5	275	1.5000000000000001e-155	433.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	5.7179594	unmob	bin_60	Binning	bin_60	0.10599099	5.8807106	1.1063058	4117.4126	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax_C;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rhodoferax_C	s__									f__Rhodanobacteraceae	11.247307	g__Caedibacter	2.3438745	s__Prevotella sp018054505	2.9637537
k141_61973_3	k141_61973	gi|966396486|ref|WP_058441292.1|	80.2	1053	1061	1	1053	1063	1	1053	0.0	1631.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	20.832508		bin_115	Binning	bin_115	0.3853973	21.383041	3.999856	14886.533	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_A	s__									f__Moraxellaceae	6.996532	g__Zoogloea	6.1323557	s__Nitrosomonas sp008015595	5.073131
k141_4009807_1	k141_4009807	YP_970399	82.4	68	74	6	73	274	3	70	1.2500000000000002e-35	119.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.103645		bin_52	Binning	bin_52	0.28356338	15.732979	2.9365063	10928.989	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Piscinibacter;s__Piscinibacter sp017983795	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Piscinibacter	s__Piscinibacter sp017983795									f__Burkholderiaceae	5.4876127	g__Ottowia	10.999825	s__Megamonas funiformis	3.776164
k141_3911518_1	k141_3911518	gb|WP_063865154.1|ARO:3006211|VEB-14	100.0	35	35	1	35	298	1	35	6.9e-15	63.5		beta_lactam	beta_lactam__VEB-9	VEB	Enzymatic inactivation	Class A beta-lactamase					III	plasmid	36.50178	unmob	bin_97	Binning	bin_97	0.1562176	8.667439	1.6107192	5994.723	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp018057925									f__Nitrosomonadaceae	5.073131	g__CAITNM01	3.1883028		
k141_2824018_1	k141_2824018	AF479774.1.gene7.p01	100.0	189	190	1	189	274	86	274	1.07e-141	394.0		beta_lactam	beta_lactam__OXA-9	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	2.766323		bin_101	Binning	bin_101	0.06447043	3.5770202	0.67807806	2523.6487	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sterolibacterium;s__Sterolibacterium sp018062105	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sterolibacterium	s__Sterolibacterium sp018062105									f__Selenomonadaceae	3.776164	g__Prevotella	2.9637537		
k141_2008959_4	k141_2008959	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	40	40	1	40	388	1	40	4.89e-21	81.3		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	4.0167446		bin_94	Binning	bin_94	0.084320955	4.678389	0.8792698	3272.4365	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__											g__JAGLBJ01	6.996532		
k141_3652647_2	k141_3652647	gb|BAD89844.2|ARO:3000753|abeM	82.1	447	454	1	447	448	1	447	1.0700000000000001e-252	693.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	3.1548183		bin_178	Binning	bin_178	0.042244826	2.3438745	0.43492913	1618.7057	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Caedibacter;s__Caedibacter taeniospiralis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Francisellales	f__Francisellaceae	g__Caedibacter	s__Caedibacter taeniospiralis											g__JADYYQ01	5.4876127		
k141_3928287_5	k141_3928287	YP_981592	83.8	37	41	1	37	277	239	275	1.12e-16	68.6		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.932509		bin_100	Binning	bin_100	0.110526524	6.1323557	1.1498137	4279.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Zoogloea	s__											g__Nitrosomonas	5.073131		
k141_4252939_1	k141_4252939	YP_985461	81.6	196	196	1	196	274	6	201	6.59e-105	301.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.36463		bin_65	Binning	bin_65	0.19825536	10.999825	2.0713284	7709.0024	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp018240925											g__Megamonas	3.776164		
k141_679641_6	k141_679641	AY743590.gene.p01	100.0	373	374	1	373	395	23	395	2.2399999999999997e-264	717.0		tetracycline	tetracycline__tet(39)	tet(39)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	15.696634	unmob	bin_126	Binning	bin_126	0.05746438	3.1883028	0.5920218	2203.3677	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__CAITNM01;g__CAITNM01;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Paracaedibacterales	f__CAITNM01	g__CAITNM01	s__														
k141_1241769_2	k141_1241769	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.328205	unmob	bin_62	Hi-C	bin_62	0.20271584	11.247307	2.0961409	7801.3506	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__	s__														
k141_975670_1	k141_975670	gb|CFW94147.1|ARO:3003650|CTX-M-166	100.0	53	53	1	53	291	1	53	4.05e-27	97.1		beta_lactam	beta_lactam__CTX-M-1	CTX-M	Enzymatic inactivation	Class A beta-lactamase					IV	plasmid	4.088975	unmob	bin_177	Binning	bin_177	0.05341722	2.9637537	0.5525027	2056.2869	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp018054505	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp018054505														
k141_2070436_4	k141_2070436	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.68e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	100.09489	unmob	bin_118	Hi-C	bin_118	0.126102	6.996532	1.3141524	4890.9688	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__JAGLBJ01	s__														
k141_2668114_2	k141_2668114	BAC67144	99.7	396	397	1	396	396	1	396	2.549999999999999e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	60.411285	unmob	bin_117	Hi-C	bin_117	0.098906	5.4876127	1.0307748	3836.3044	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JADYYQ01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JADYYQ01	s__														
k141_770471_4	k141_770471	FM897214.1.orf2.gene.p01	92.8	83	84	1	83	150	68	150	2.6300000000000002e-56	169.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	1.7481436		bin_119	Binning	bin_119	0.09143559	5.073131	0.94352776	3511.5906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp008015595	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas sp008015595														
k141_269852_4	k141_269852	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	4.0258846	unmob	bin_147	Binning	bin_147	0.0680597	3.776164	0.7031423	2616.9321	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis														
