qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-I_577697-checked_1.fq Relative Abundance (%)	TP-I_577697-checked_1.fq Mean	TP-I_577697-checked_1.fq RPKM	TP-I_577697-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_51248_6	k141_51248	AAR05762	100.0	301	302	1	301	301	1	301	1.78e-217	592.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	plasmid	30.254448	unmob	bin_5	Binning	bin_5	0.2961193	18.166365	2.8719838	9803.533	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__41T-STBD-0c-01a sp024235395	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__41T-STBD-0c-01a	s__41T-STBD-0c-01a sp024235395							o__Lachnospirales	6.0807347	f__UBA9214	13.325873	g__41T-STBD-0c-01a	18.166365	s__Bacteroides uniformis	20.49159
k141_2714213_4	k141_2714213	P67918	100.0	305	306	1	305	305	1	305	1.2e-217	592.0		beta_lactam	beta_lactam__ROB-1	ROB-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	9.283777	unmob	bin_107	Hi-C	bin_107	0.15333655	9.40691	1.4891894	5083.3584	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Mannheimia	s__							o__Bacteroidales	57.06549199999999	f__DEV007	3.7950363	g__Mannheimia	9.40691	s__Sutterella wadsworthensis_A	4.0885987
k141_1140094_2	k141_1140094	AY463797.7.gene28.p01	99.7	399	400	1	399	399	1	399	2.4099999999999998e-285	771.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	16.915846	unmob	bin_38	Binning	bin_38	0.21721728	13.325873	2.106892	7191.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA9214	f__UBA9214	g__UBA9214	s__							o__Competibacterales	7.452606	f__Moraxellaceae	26.932991	g__UBA9214	13.325873	s__JACKKV01 sp024236235	3.7445621
k141_3805314_7	k141_3805314	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	22.014175	unmob	bin_6	Binning	bin_6	0.06186067	3.7950363	0.5905445	2015.8273	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JACKQE01;s__JACKQE01 sp024233005	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__JACKQE01	s__JACKQE01 sp024233005							o__Sphingomonadales	3.7445621	f__Rhodobacteraceae	26.68799	g__JACKQE01	3.7950363	s__Phocaeicola vulgatus	36.573902
k141_83972_3	k141_83972	AME01623.1	98.7	383	384	1	383	548	166	548	1.62e-283	772.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	7.6923075		bin_134	Binning	bin_134	0.12879126	7.901102	1.2372197	4223.2563	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__							o__Lactobacillales	14.535048	f__Lachnospiraceae	6.0807347	g__Moraxella	26.932991	s__Moraxella porci	19.031889
k141_2258622_8	k141_2258622	DQ464881.1.gene4.p01	100.0	139	140	1	139	163	25	163	1.9e-101	286.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	III	plasmid	74.6141	unmob	bin_31	Binning	bin_31	0.43502533	26.68799	4.179413	14266.452	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__									f__Bacteroidaceae	57.06549199999999	g__Paracoccus	26.68799	s__Enterococcus_F sp017426705	14.535048
k141_3328659_2	k141_3328659	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	6.926017		bin_117	Binning	bin_117	0.0991185	6.0807347	0.95448095	3258.1277	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A									f__Burkholderiaceae_A	4.0885987	g__Lachnospira	6.0807347		
k141_930943_4	k141_930943	P30898	99.7	296	297	1	296	296	1	296	4.720000000000001e-215	585.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	19.71351		bin_64	Binning	bin_64	0.33402145	20.49159	3.2240486	11005.31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis									f__Competibacteraceae	7.452606	g__Bacteroides	20.49159		
k141_2797257_1	k141_2797257	YP_002434803	80.0	30	38	9	38	265	6	35	5.34e-10	50.1		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.232516		bin_157	Binning	bin_157	0.06664586	4.0885987	0.6351221	2167.9937	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella;s__Sutterella wadsworthensis_A	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella wadsworthensis_A									f__Sphingomonadaceae	3.7445621	g__Sutterella	4.0885987		
k141_3888832_1	k141_3888832	gi|846280841|gb|AKN19373.1|	100.0	277	278	1	277	279	3	279	6.75e-190	520.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	58.74026	unmob	bin_51	Hi-C	bin_51	0.121480584	7.452606	1.1716949	3999.5876	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Competibacter_A	s__									f__Enterococcaceae	14.535048	g__Competibacter_A	7.452606		
k141_2325328_1	k141_2325328	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	3.5548112	unmob	bin_121	Hi-C	bin_121	0.061037924	3.7445621	0.58069336	1982.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JACKKV01;s__JACKKV01 sp024236235	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__JACKKV01	s__JACKKV01 sp024236235											g__JACKKV01	3.7445621		
k141_1817003_5	k141_1817003	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1000000000000001e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	23.072878		bin_50	Binning	bin_50	0.59616977	36.573902	5.747716	19619.861	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus											g__Phocaeicola	36.573902		
k141_1019910_1	k141_1019910	gb|CAA90891.1|ARO:3004762|BRO-2	99.7	313	314	1	313	314	2	314	5.4e-232	629.0		beta_lactam	beta_lactam__BRO-2	BRO	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	28.860043		bin_114	Binning	bin_114	0.31022772	19.031889	2.9984088	10235.088	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella porci	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__Moraxella porci											g__Enterococcus_F	14.535048		
k141_4233351_3	k141_4233351	gb|WP_104671188.1|ARO:3003948|efrA	80.1	573	575	1	573	575	4	575	0.0	875.0	two-component system	multidrug	multidrug__efrA	efrA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	13.148808		bin_126	Binning	bin_126	0.23692732	14.535048	2.3079703	7878.269	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_F;s__Enterococcus_F sp017426705	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_F	s__Enterococcus_F sp017426705														
