qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-i_578754-checked_1.fq Relative Abundance (%)	sk-i_578754-checked_1.fq Mean	sk-i_578754-checked_1.fq RPKM	sk-i_578754-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_1798674_6	k141_1798674	gi|496592990|ref|WP_009288847.1|	99.5	405	406	1	405	408	1	405	3.11e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	18.273766	unmob	bin_45	Binning	bin_45	0.3841442	36.321274	11.756057	26056.732	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Macellibacteroides	s__Macellibacteroides fermentans							o__Campylobacterales	31.092995	f__Aquaspirillaceae	16.581789	g__JAGPMH01	30.88196	s__Laribacter hongkongensis	16.581789
k141_1804379_2	k141_1804379	gb|QNR09092.1|ARO:3007042|msr(G)	94.3	70	76	1	70	485	1	70	1.78e-39	134.0		pleuromutilin_tiamulin	pleuromutilin_tiamulin__msr(G)								IV	genome	5.6029506		bin_71	Binning	bin_71	0.32661647	30.88196	10.050991	22277.54	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__JAGPMH01;g__JAGPMH01;s__JAGPMH01 sp018052945	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__JAGPMH01	g__JAGPMH01	s__JAGPMH01 sp018052945									f__Lachnospiraceae	45.793146	g__	4.0772166	s__Agathobacter rectalis	35.36929
k141_4257775_1	k141_4257775	gi|296278285|pdb|2WGV|A	100.0	45	46	1	45	248	204	248	1.3800000000000002e-27	97.1		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	II	plasmid	719.69617	unmob	bin_12	Hi-C	bin_12	0.04312181	4.0772166	1.326413	2939.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__	s__									f__Moraxellaceae	50.863375000000005	g__Laribacter	16.581789	s__Lachnospira eligens_A	10.423856
k141_768847_4	k141_768847	gb|WP_104531869.1|ARO:3006940|LHK-6	97.2	390	391	1	390	390	1	390	4.979999999999999e-278	752.0		beta_lactam	beta_lactam__Laribacter hongkongensis ampC beta-lactamase	Laribacter hongkongensis ampC beta-lactamase	Enzymatic inactivation	Class C beta-lactamase					IV	genome	16.941402		bin_32	Binning	bin_32	0.17537375	16.581789	5.3796687	11923.778	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Laribacter	s__Laribacter hongkongensis									f__Filifactoraceae	16.942905	g__Agathobacter	35.36929	s__Acetoanaerobium noterae	16.942905
k141_79233_2	k141_79233	YP_002937728	99.3	289	290	1	289	289	1	289	2.9e-201	550.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	29.87443		bin_87	Binning	bin_87	0.37407574	35.36929	11.432348	25339.25	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis									f__Sulfurospirillaceae	31.092995	g__Moraxella_A	36.384168	s__Sulfurospirillum sp001548035	31.092995
k141_842152_1	k141_842152	gb|WP_068981631.1|ARO:3005583|CARB-49	100.0	41	41	1	41	298	1	41	6.81e-21	80.1		beta_lactam	beta_lactam__CARB-16	CARB	Enzymatic inactivation	Class A beta-lactamase					IV	plasmid	28.636995	unmob	bin_35	Hi-C	bin_35	0.2633428	24.899364	8.119401	17996.266	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__											g__Lachnospira	10.423856	s__Brachymonas sp018054915	19.074759
k141_3269005_6	k141_3269005	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	8.435982		bin_50	Binning	bin_50	0.11024568	10.423856	3.391726	7517.5977	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A											g__Acetoanaerobium	16.942905	s__Brachymonas sp017996515	6.643451
k141_477404_5	k141_477404	gb|WP_082741435.1|ARO:3004569|ICR-Mo	80.9	544	544	3	541	558	15	558	0.0	886.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	14.222634		bin_47	Binning	bin_47	0.121466585	11.484804	3.7816546	8381.856	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__											g__Sulfurospirillum	31.092995	s__Moraxella porci	14.479207
k141_878628_1	k141_878628	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	72.03931	unmob	bin_33	Binning	bin_33	0.17919302	16.942905	5.5256424	12247.326	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Filifactoraceae	g__Acetoanaerobium	s__Acetoanaerobium noterae											g__Acidovorax_C	31.705318		
k141_5059648_5	k141_5059648	gb|WP_128268285.1|ARO:3006983|RSD2-2	99.2	244	244	1	243	252	9	252	1.58e-175	481.0		beta_lactam	beta_lactam__RSD2-2								III	genome	34.523766		bin_46	Binning	bin_46	0.32884842	31.092995	10.108468	22404.94	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001548035	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurospirillaceae	g__Sulfurospirillum	s__Sulfurospirillum sp001548035											g__Moraxella	14.479207		
k141_2347673_1	k141_2347673	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	32.915142	unmob	bin_53	Hi-C	bin_53	0.20174012	19.074759	6.20619	13755.725	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__Brachymonas sp018054915														
k141_2347673_1	k141_2347673	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	32.915142	unmob	bin_56	Hi-C	bin_56	0.07026304	6.643451	2.1825738	4837.5703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp017996515	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__Brachymonas sp017996515														
k141_2693045_3	k141_2693045	YP_970399	87.0	100	102	1	100	274	174	273	7.17e-61	185.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.602113		bin_49	Binning	bin_49	0.33532453	31.705318	10.311133	22854.139	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Acidovorax_C;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Acidovorax_C	s__														
k141_646855_2	k141_646855	gb|CAA90891.1|ARO:3004762|BRO-2	100.0	314	315	1	314	314	1	314	3.96e-232	630.0		beta_lactam	beta_lactam__BRO-2	BRO	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	9.281334		bin_55	Binning	bin_55	0.15313624	14.479207	4.8328023	10711.678	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella porci	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__Moraxella porci														
