qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-e_579967-checked_1.fq Relative Abundance (%)	sh-e_579967-checked_1.fq Mean	sh-e_579967-checked_1.fq RPKM	sh-e_579967-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_2099065_6	k141_2099065	BAC67151	98.1	53	53	1	53	391	1	53	7.39e-26	95.1		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.484971	unmob	bin_55	Hi-C	bin_55	0.18829265	9.572015	1.296051	5195.046	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__JAEUMD01	s__JAEUMD01 sp020638055											g__Hydrogenophaga	3.9758682	s__Pseudomonas_E leptonychotis	2.779505
k141_2399739_5	k141_2399739	A4VLM0	83.9	274	277	1	274	276	1	274	1.2e-166	461.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.6244395		bin_49	Binning	bin_49	0.05467609	2.779505	0.37498572	1503.0793	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E leptonychotis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E leptonychotis											g__Ottowia	3.5803087	s__Gordonia polyisoprenivorans	13.965284
k141_2112689_61	k141_2112689	gi|1039567692|ref|WP_064895059.1|	100.0	203	204	1	203	294	1	203	1.73e-137	385.0		beta_lactam	beta_lactam__blaF	blaF	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	13.6689625		bin_21	Binning	bin_21	0.27471337	13.965284	1.8976227	7606.365	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia polyisoprenivorans	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia polyisoprenivorans											g__Xanthobacter	2.386901	s__Thauera sp003963015	5.756437
k141_1540542_3	k141_1540542	gb|ADT70779.1|ARO:3001805|OXA-198	80.2	257	259	1	257	262	5	261	4.06e-150	418.0		beta_lactam	beta_lactam__OXA-198	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	9.319225		bin_42	Binning	bin_42	0.18373215	9.340178	1.2680378	5082.758	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAAEPA01;f__JAAEPA01;g__JAAEPA01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__JAAEPA01	f__JAAEPA01	g__JAAEPA01	s__													s__Ottowia sp018240925	3.5803087
k141_3336811_8	k141_3336811	AY289608.1.gene2.p01	94.5	274	338	1	274	275	1	274	2.42e-193	531.0		beta_lactam	beta_lactam__OXA-53	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	2.7908251		bin_104	Binning	bin_104	0.062902	3.197676	0.42850348	1717.598	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiocapsa	s__													s__Gordonia malaquae	17.746283
k141_3338034_12	k141_3338034	ZP_03541894	88.0	25	25	1	25	274	1	25	7.1e-09	46.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.421401		bin_9	Binning	bin_9	0.07816155	3.9734082	0.5382229	2157.3933	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Aquabacterium_A	s__														
k141_2443881_25	k141_2443881	YP_002890644	94.5	274	275	1	274	274	1	274	9.62e-188	514.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.7639937		bin_101	Binning	bin_101	0.113235794	5.756437	0.77908564	3122.8594	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp003963015	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Thauera	s__Thauera sp003963015														
k141_3709152_3	k141_3709152	YP_002552549	80.9	272	275	1	272	274	1	272	4.05e-157	437.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.606917		bin_52	Binning	bin_52	0.078209944	3.9758682	0.5358726	2147.9727	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Hydrogenophaga	s__														
k141_1480460_4	k141_1480460	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.9655137		bin_91	Binning	bin_91	0.070428826	3.5803087	0.4861357	1948.6086	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp018240925														
k141_1032299_19	k141_1032299	AF024666.2.gene33.p01	80.5	385	393	1	385	391	1	385	1.01e-204	567.0		chloramphenicol	chloramphenicol__cmx	cmx	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.451057		bin_44	Binning	bin_44	0.34909	17.746283	2.4062953	9645.306	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia malaquae	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia malaquae														
k141_158416_13	k141_158416	YP_001416709	82.8	268	269	1	268	305	38	305	8.34e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.7585762		bin_73	Binning	bin_73	0.046953116	2.386901	0.319648	1281.2657	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Xanthobacter	s__														
