qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-E_579475-checked_1.fq Relative Abundance (%)	YL-E_579475-checked_1.fq Mean	YL-E_579475-checked_1.fq RPKM	YL-E_579475-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_1069205_11	k141_1069205	EAS48788	80.0	30	38	9	38	296	9	38	3.51e-12	56.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.4844542		bin_78	Binning	bin_78	0.073438525	3.7899156	0.47414002	1893.5708	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Albidovulum	s__Albidovulum sp024236495									f__Flavobacteriaceae	63.71918	g__UBA5078	4.368305	s__JACKHO01 sp020426515	3.4288497
k141_1661451_71	k141_1661451	gb|WP_010337133.1|ARO:3006993|SGM-7	100.0	326	327	1	326	326	1	326	1.1299999999999999e-228	622.0		beta_lactam	beta_lactam__SGM-7								IV	genome	7.487266		bin_16	Binning	bin_16	0.17241675	8.897849	1.1332283	4525.7686	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium yanoikuyae	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium yanoikuyae									f__Saprospiraceae	7.3468466	g__JACKHO01	3.4288497	s__Giesbergeria sp010020825	9.24955
k141_1205494_1	k141_1205494	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.63e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	8.513313	unmob	bin_12	Hi-C	bin_12	0.39505288	20.387352	2.6109328	10427.271	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Zoogloea	s__									f__Crocinitomicaceae	16.178022	g__Flavobacterium	63.71918	s__OLB8 sp001567405	7.3468466
k141_1693071_4	k141_1693071	gb|AAG07064.1|ARO:3003693|mexK	82.0	311	311	1	311	1025	1	311	2.68e-180	523.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.0674055		bin_74	Binning	bin_74	0.08464618	4.368305	0.5509934	2200.4993	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA5078;s__UBA5078 sp024234325	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudohongiellaceae	g__UBA5078	s__UBA5078 sp024234325											g__OLB8	7.3468466		
k141_1791014_2	k141_1791014	gi|639206639|ref|WP_024544906.1|	82.3	158	159	1	158	158	1	158	9.43e-90	257.0		aminoglycoside	aminoglycoside__AAC(3)-Id	AAC(3)-Id	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes	IV	genome	43.240383		bin_29	Binning	bin_29	0.8154999	42.08521	5.3635244	21420.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__Thiolinea sp020442915	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__Thiolinea sp020442915											g__Fluviicola	16.178022		
k141_1104032_4	k141_1104032	U14748.1.gene2.p01	94.0	283	284	1	283	304	22	304	2.92e-187	514.0		beta_lactam	beta_lactam__AER-1	AER-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	7.235173	unmob	bin_43	Binning	bin_43	0.06644202	3.4288497	0.4322009	1726.0786	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__JACKHO01;s__JACKHO01 sp020426515	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__JACKHO01	s__JACKHO01 sp020426515														
k141_63975_24	k141_63975	AGC41079.1	92.8	251	257	6	256	255	1	251	3.89e-171	471.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	53.06893		bin_61	Binning	bin_61	1.2347089	63.71918	8.14509	32529.012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__														
k141_1458439_12	k141_1458439	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.695252		bin_41	Binning	bin_41	0.17923178	9.24955	1.1748451	4691.972	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825														
k141_300990_1	k141_300990	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	41	41	1	41	388	1	41	7.39e-22	83.6		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	5.114325		bin_31	Binning	bin_31	0.14236243	7.3468466	0.93319994	3726.9165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp001567405														
k141_197021_1	k141_197021	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	18.616426	unmob	bin_35	Hi-C	bin_35	0.31348723	16.178022	2.0645607	8245.225	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Crocinitomicaceae	g__Fluviicola	s__														
