qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-i_578754-checked_1.fq Relative Abundance (%)	sk-i_578754-checked_1.fq Mean	sk-i_578754-checked_1.fq RPKM	sk-i_578754-checked_1.fq TPM	host_taxonomy
k141_4580357_1	k141_4580357	CP001485.1.gene2821.p01	99.1	424	425	1	424	424	1	424	2.92e-301	814.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	123.377075	unmob	bin_37	Hi-C	bin_37	0.054961637	5.196686	1.7027318	3774.0232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2348376_2	k141_2348376	gb|ADZ12699.1|ARO:3005091|RanA	81.0	258	271	1	258	258	1	258	1.14e-149	417.0		multidrug	multidrug__RanA								IV	genome	9.252151		bin_70	Binning	bin_70	0.09845519	9.309051	3.1021264	6875.715	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei
k141_5441228_46	k141_5441228	gb|ADZ12700.1|ARO:3005090|RanB	83.4	241	266	25	265	253	13	253	4.83e-137	385.0		multidrug	multidrug__RanB								IV	genome	14.1401005		bin_79	Binning	bin_79	0.13747518	12.998435	4.2619066	9446.3125	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__JABCPE02;s__
k141_2348376_3	k141_2348376	gb|ADZ12700.1|ARO:3005090|RanB	82.7	248	251	3	250	253	6	253	1.03e-141	396.0		multidrug	multidrug__RanB								IV	genome	9.252151		bin_70	Binning	bin_70	0.09845519	9.309051	3.1021264	6875.715	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei
k141_1798674_6	k141_1798674	gi|496592990|ref|WP_009288847.1|	99.5	405	406	1	405	408	1	405	3.11e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	18.273766	unmob	bin_45	Binning	bin_45	0.3841442	36.321274	11.756057	26056.732	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans
k141_1804379_2	k141_1804379	gb|QNR09092.1|ARO:3007042|msr(G)	94.3	70	76	1	70	485	1	70	1.78e-39	134.0		pleuromutilin_tiamulin	pleuromutilin_tiamulin__msr(G)								IV	genome	5.6029506		bin_71	Binning	bin_71	0.32661647	30.88196	10.050991	22277.54	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__JAGPMH01;g__JAGPMH01;s__JAGPMH01 sp018052945
k141_1804379_3	k141_1804379	gb|QNR09091.1|ARO:3007044|mefF	91.4	347	348	1	347	397	1	347	1.49e-219	603.0		multidrug	multidrug__mefF								IV	genome	5.6029506		bin_71	Binning	bin_71	0.32661647	30.88196	10.050991	22277.54	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__JAGPMH01;g__JAGPMH01;s__JAGPMH01 sp018052945
k141_4601436_37	k141_4601436	gb|AAS76623.1|ARO:3004606|erm(40)	98.8	251	252	1	251	251	1	251	5.01e-183	500.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(40)	erm(40)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	5.1439905		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4257775_1	k141_4257775	gi|296278285|pdb|2WGV|A	100.0	45	46	1	45	248	204	248	1.3800000000000002e-27	97.1		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	II	plasmid	719.69617	unmob	bin_12	Hi-C	bin_12	0.04312181	4.0772166	1.326413	2939.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__;s__
k141_4257775_2	k141_4257775	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	719.69617	unmob	bin_12	Hi-C	bin_12	0.04312181	4.0772166	1.326413	2939.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__;s__
k141_4257775_3	k141_4257775	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	719.69617	unmob	bin_12	Hi-C	bin_12	0.04312181	4.0772166	1.326413	2939.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__;s__
k141_768847_4	k141_768847	gb|WP_104531869.1|ARO:3006940|LHK-6	97.2	390	391	1	390	390	1	390	4.9799999999999995e-278	752.0		beta_lactam	beta_lactam__Laribacter hongkongensis ampC beta-lactamase	Laribacter hongkongensis ampC beta-lactamase	Enzymatic inactivation	Class C beta-lactamase					IV	genome	16.941402		bin_32	Binning	bin_32	0.17537375	16.581789	5.3796687	11923.778	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis
k141_79233_2	k141_79233	YP_002937728	99.3	289	290	1	289	289	1	289	2.9e-201	550.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	29.87443		bin_87	Binning	bin_87	0.37407574	35.36929	11.432348	25339.25	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
k141_2182048_10	k141_2182048	gb|AAV85982.1|ARO:3000535|macB	82.8	87	87	1	87	644	1	87	4.97e-44	148.0	multicomponent system	macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__macB	macB	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.052346		bin_37	Binning	bin_37	0.054961637	5.196686	1.7027318	3774.0232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_842152_1	k141_842152	gb|WP_068981631.1|ARO:3005583|CARB-49	100.0	41	41	1	41	298	1	41	6.81e-21	80.1		beta_lactam	beta_lactam__CARB-16	CARB	Enzymatic inactivation	Class A beta-lactamase					IV	plasmid	28.636995	unmob	bin_35	Hi-C	bin_35	0.2633428	24.899364	8.119401	17996.266	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__
k141_1483409_4	k141_1483409	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	393.4731	unmob	bin_37	Hi-C	bin_37	0.054961637	5.196686	1.7027318	3774.0232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2196097_27	k141_2196097	AF001493.1.orf0.gene.p01	82.5	137	140	3	139	143	7	143	2.83e-85	244.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	3.9960902		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_1846254_24	k141_1846254	gb|CAA03986.1|ARO:3000343|tap	88.5	408	410	1	408	409	1	408	2.14e-245	671.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.3129745		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4300121_79	k141_4300121	gi|602542163|emb|CDO24964.1|	98.8	410	429	19	428	410	1	410	2.2000000000000002e-273	743.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.8997884		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4662534_2	k141_4662534	gb|ADI55014.1|ARO:3002801|QnrVC4	100.0	218	219	1	218	218	1	218	1.68e-79	236.0		quinolone	quinolone__QnrVC4	QnrVC family	Antibiotic target protection			Yes	Yes	Yes	I	plasmid	640.34845	unmob	bin_12	Hi-C	bin_12	0.04312181	4.0772166	1.326413	2939.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__;s__
k141_3269005_6	k141_3269005	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	8.435982		bin_50	Binning	bin_50	0.11024568	10.423856	3.391726	7517.5977	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
k141_477404_5	k141_477404	gb|WP_082741435.1|ARO:3004569|ICR-Mo	80.9	544	544	3	541	558	15	558	0.0	886.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	14.222634		bin_47	Binning	bin_47	0.121466585	11.484804	3.7816546	8381.856	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__
k141_878628_1	k141_878628	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	72.03931	unmob	bin_33	Binning	bin_33	0.17919302	16.942905	5.5256424	12247.326	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae
k141_5059648_5	k141_5059648	gb|WP_128268285.1|ARO:3006983|RSD2-2	99.2	244	244	1	243	252	9	252	1.58e-175	481.0		beta_lactam	beta_lactam__RSD2-2								III	genome	34.523766		bin_46	Binning	bin_46	0.32884842	31.092995	10.108468	22404.94	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001548035
k141_5087496_11	k141_5087496	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.3666964		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_2347673_1	k141_2347673	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	32.915142	unmob	bin_53	Hi-C	bin_53	0.20174012	19.074759	6.20619	13755.725	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_2347673_1	k141_2347673	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	32.915142	unmob	bin_56	Hi-C	bin_56	0.07026304	6.643451	2.1825738	4837.5703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp017996515
k141_2693045_3	k141_2693045	YP_970399	87.0	100	102	1	100	274	174	273	7.17e-61	185.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.602113		bin_49	Binning	bin_49	0.33532453	31.705318	10.311133	22854.139	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Acidovorax_C;s__
k141_4477780_4	k141_4477780	gb|AAC43550.1|ARO:3003967|lrfA	83.4	505	510	1	505	504	1	504	2.9000000000000003e-276	758.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.7707033		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_646855_2	k141_646855	gb|CAA90891.1|ARO:3004762|BRO-2	100.0	314	315	1	314	314	1	314	3.96e-232	630.0		beta_lactam	beta_lactam__BRO-2	BRO	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	9.281334		bin_55	Binning	bin_55	0.15313624	14.479207	4.8328023	10711.678	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella porci
k141_2770458_2	k141_2770458	gi|446136270|ref|WP_000214125.1|	100.0	404	405	1	404	404	1	404	1.04e-277	753.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	30.010578	unmob	bin_37	Hi-C	bin_37	0.054961637	5.196686	1.7027318	3774.0232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2770458_2	k141_2770458	gi|446136270|ref|WP_000214125.1|	100.0	404	405	1	404	404	1	404	1.04e-277	753.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	30.010578	unmob	bin_27	Hi-C	bin_27	0.13003746	12.295191	3.9829004	8827.906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis
k141_3492005_2	k141_3492005	gi|639206639|ref|WP_024544906.1|	86.8	151	159	1	151	158	1	151	2.59e-87	251.0		aminoglycoside	aminoglycoside__AAC(3)-Id	AAC(3)-Id	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes	IV	plasmid	11.03527	unmob	bin_55	Hi-C	bin_55	0.15313624	14.479207	4.8328023	10711.678	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella porci
