qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-e_577737-checked_1.fq Relative Abundance (%)	sk-e_577737-checked_1.fq Mean	sk-e_577737-checked_1.fq RPKM	sk-e_577737-checked_1.fq TPM	host_taxonomy
k141_468870_27	k141_468870	gb|APB03216.1|ARO:3003982|LlmA	84.0	287	290	3	289	287	1	287	1.86e-192	527.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__LlmA 23S ribosomal RNA methyltransferase	LlmA 23S ribosomal RNA methyltransferase	Antibiotic target alteration		MLS_lincosamide	Yes	Yes	Yes	IV	genome	5.11164		bin_11	Binning	bin_11	0.11794632	5.447721	1.3155836	5718.302	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus chibensis
k141_3012657_1	k141_3012657	gi|754690915|ref|WP_042068827.1|	100.0	237	237	1	237	273	1	237	3.62e-175	481.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	13.892169	unmob	bin_52	Hi-C	bin_52	0.1282996	5.925919	1.4391624	6255.447	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__QY30;s__
k141_3012657_2	k141_3012657	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	13.892169	unmob	bin_52	Hi-C	bin_52	0.1282996	5.925919	1.4391624	6255.447	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__QY30;s__
k141_2803787_1	k141_2803787	AB104852.1.gene6.p01	100.0	278	279	1	278	279	2	279	2.04e-198	541.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	28.433893	unmob	bin_19	Binning	bin_19	4.553603	210.32246	51.791245	225115.28	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium limneticum
k141_905712_13	k141_905712	gb|CCP45647.1|ARO:3003955|efpA	80.5	532	526	1	525	530	1	530	1.22e-283	778.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	17.20399		bin_17	Binning	bin_17	0.35142088	16.231476	3.9224846	17049.428	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2806106_5	k141_2806106	gb|CCP45647.1|ARO:3003955|efpA	80.1	534	534	1	533	530	1	530	3.8899999999999994e-282	775.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.914642		bin_20	Binning	bin_20	0.35969037	16.613428	4.0134244	17444.707	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2400495_2	k141_2400495	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	8.066973	unmob	bin_38	Binning	bin_38	0.20644344	9.535238	2.3341734	10145.694	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_2193924_2	k141_2193924	AF133140.gene.p01	96.7	215	216	1	215	391	177	391	6.329999999999999e-147	413.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.9957914	unmob	bin_5	Hi-C	bin_5	0.08432806	3.8949564	0.9330065	4055.3972	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__CAISKJ01;s__
k141_721144_5	k141_721144	gb|AAP43110.2|ARO:3003923|oqxB	84.9	86	86	1	86	1050	1	86	1e-40	140.0	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	17.000658		bin_28	Binning	bin_28	0.20455685	9.4481	2.2730372	9879.962	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp009594855
k141_2220603_1	k141_2220603	gb|ABW91178.1|ARO:3002613|aadA13	100.0	29	29	1	29	265	1	29	2.85e-12	55.8		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	3.4593441		bin_54	Binning	bin_54	0.13077636	6.040316	1.4609684	6350.2305	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_126135_10	k141_126135	gb|APB03215.1|ARO:3003981|tetB(48)	88.5	260	272	12	271	271	12	271	3.8299999999999996e-135	381.0		tetracycline	tetracycline__tetB(48)	tetB(48)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	15.296553		bin_30	Binning	bin_30	0.26288387	12.142117	2.9230654	12705.367	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Gottfriedia;s__
k141_126743_10	k141_126743	gb|APB03215.1|ARO:3003981|tetB(48)	87.7	260	272	12	271	271	12	271	7.72e-135	380.0		tetracycline	tetracycline__tetB(48)	tetB(48)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	18.752928		bin_29	Binning	bin_29	0.35110256	16.216774	3.9121141	17004.352	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Gottfriedia;s__
k141_3082870_4	k141_3082870	gb|CAJ77856.1|ARO:3000777|adeF	90.9	22	22	1	22	1059	1	22	7.42e-08	43.1	multicomponent system	multidrug	multidrug__adeF	adeF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.820997		bin_62	Binning	bin_62	0.0678732	3.134937	0.754698	3280.3623	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__AWTP1-18;s__
k141_771208_5	k141_771208	ZP_03541894	90.3	31	31	1	31	274	1	31	1.71e-12	56.6		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.9242535		bin_6	Binning	bin_6	0.21255529	9.8175335	2.3757224	10326.292	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax;s__
k141_2710701_2	k141_2710701	gi|906974509|ref|WP_049742677.1|	81.3	139	143	4	142	141	3	141	5.17e-86	246.0		fosfomycin	fosfomycin__FosB	FosB family	Enzymatic inactivation	thiol transferase		Yes	Yes	Yes	notassessed	genome	3.577599		bin_12	Binning	bin_12	0.071937434	3.322656	0.8010865	3481.9944	d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus centrosporus
