qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	tp-ads_743148-checked_1.fq Relative Abundance (%)	tp-ads_743148-checked_1.fq Mean	tp-ads_743148-checked_1.fq RPKM	tp-ads_743148-checked_1.fq TPM	host_taxonomy
k141_2546802_2	k141_2546802	gi|983204316|ref|WP_060470352.1|	99.2	131	151	1	131	405	1	131	3.04e-82	246.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	II	plasmid	26.4	unmob	bin_42	Binning	bin_42	0.089295246	5.967759	1.5545653	4775.255	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_1116065_8	k141_1116065	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	22.62793	unmob	bin_11	Binning	bin_11	0.3640874	24.332603	6.332109	19450.74	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_941204_2	k141_941204	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	24.66353	unmob	bin_16	Binning	bin_16	0.21325797	14.252406	3.6883383	11329.701	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_941204_3	k141_941204	AF313472.2.gene15.p01	99.3	267	268	1	267	267	1	267	3.05e-201	548.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	24.66353	unmob	bin_16	Binning	bin_16	0.21325797	14.252406	3.6883383	11329.701	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_582737_1	k141_582737	ABB70054	99.7	639	640	1	639	639	1	639	0.0	1261.0		tetracycline	tetracycline__tet(M)	tet(M)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	35.272057	unmob	bin_65	Hi-C	bin_65	0.18670231	12.477645	3.2536926	9994.575	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__
k141_2446554_9	k141_2446554	AGC41079.1	97.3	255	261	6	260	255	1	255	3.4099999999999996e-182	499.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	13.00136		bin_30	Binning	bin_30	0.49741757	33.243294	8.647204	26562.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tenuifilaceae;g__UBA1064;s__UBA1064 sp002316235
k141_1851301_2	k141_1851301	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	9.21613		bin_7	Binning	bin_7	0.119908944	8.013726	2.085424	6405.9287	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__
k141_1134251_5	k141_1134251	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	11.397141		bin_34	Binning	bin_34	0.13179687	8.808217	2.294196	7047.227	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__
k141_254837_12	k141_254837	gb|CAG27800.1|ARO:3003203|TLA-2	87.2	304	305	1	304	304	1	304	1.2799999999999999e-191	526.0		beta_lactam	beta_lactam__TLA-2	TLA-2	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	11.824171		bin_20	Binning	bin_20	0.19926472	13.317213	3.4552488	10613.702	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__JAFGJZ01;g__JAKJGA01;s__
k141_460030_3	k141_460030	AAL05554	100.0	267	268	1	267	267	1	267	6.09e-192	524.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(E)	lsa(E)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	I	plasmid	6.7319136	unmob	bin_42	Binning	bin_42	0.089295246	5.967759	1.5545653	4775.255	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
