qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-I_577304_1.fq Relative Abundance (%)	YL-I_577304_1.fq Mean	YL-I_577304_1.fq RPKM	YL-I_577304_1.fq TPM	host_taxonomy
k141_471112_6	k141_471112	gb|CAA03986.1|ARO:3000343|tap	84.8	401	415	8	408	409	4	404	6.82e-234	642.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.962996		bin_11	Binning	bin_11	0.19166274	13.352124	2.9948938	8837.56	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium austroafricanum
k141_2735978_1	k141_2735978	CAJ45367	96.8	405	406	1	405	405	1	405	6.97e-272	738.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	36.228622	unmob	bin_81	Binning	bin_81	0.115852416	8.070822	1.8027465	5319.681	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
k141_1160850_1	k141_1160850	YP_001140148	92.2	167	167	1	167	271	1	167	2.06e-109	311.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	134.09544		bin_21	Binning	bin_21	1.5597577	108.66003	24.24024	71529.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_497295_14	k141_497295	YP_001140148	92.0	150	151	1	150	271	122	271	1.56e-90	263.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	121.32412		bin_21	Binning	bin_21	1.5597577	108.66003	24.24024	71529.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2290953_3	k141_2290953	ABV82120	100.0	639	640	1	639	639	1	639	0.0	1272.0		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	III	genome	21.642035		bin_74	Binning	bin_74	0.85729957	59.7235	13.388095	39506.6	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga prima
k141_3419047_2	k141_3419047	gb|AAY32951.1|ARO:3002837|lnuC	98.2	164	165	1	164	164	1	164	4.2300000000000005e-123	342.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(C)	lnu(C)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	plasmid	18.483711	unmob	bin_72	Binning	bin_72	0.09913317	6.9060807	1.5812298	4666.011	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__RZYP01;s__
k141_1517138_1	k141_1517138	gb|AAV85982.1|ARO:3000535|macB	80.7	202	203	2	203	644	1	202	4.23e-107	319.0	multicomponent system	macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__macB	macB	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.161868		bin_73	Binning	bin_73	0.12032181	8.38218	1.8621444	5494.9565	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis
k141_731258_11	k141_731258	gi|983204316|ref|WP_060470352.1|	98.3	405	406	1	405	405	1	405	2.18e-275	747.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	II	plasmid	76.41915	unmob	bin_92	Binning	bin_92	1.1386902	79.326485	17.779615	52465.426	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis_AA
k141_2537264_8	k141_2537264	gb|WP_043155783.1|ARO:3006477|MOX-12	99.0	383	384	1	383	383	1	383	6.069999999999999e-280	756.0		beta_lactam	beta_lactam__MOX-7	CMY-LAT-MOX	Enzymatic inactivation	Class C beta-lactamase					IV	plasmid	323.86197	unmob	bin_21	Binning	bin_21	1.5597577	108.66003	24.24024	71529.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2994073_5	k141_2994073	P30898	99.7	296	297	1	296	296	1	296	9.52e-215	584.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	5.980715		bin_37	Binning	bin_37	0.109423086	7.622924	1.7030783	5025.573	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_1423520_21	k141_1423520	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	15.356607	unmob	bin_13	Binning	bin_13	0.2314034	16.120644	3.6141007	10664.758	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495
k141_2786295_9	k141_2786295	gb|AAL36430.1|ARO:3004692|aadA10	99.5	217	217	1	217	277	1	217	4.0200000000000003e-154	427.0		aminoglycoside	aminoglycoside__aadA10	aadA10	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	11.800383		bin_18	Binning	bin_18	0.2513625	17.51109	3.9595814	11684.229	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_980287_3	k141_980287	YP_002937728	99.7	289	290	1	289	289	1	289	1.01e-201	551.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	3.91517		bin_103	Binning	bin_103	0.084337056	5.8753138	1.3024138	3843.2622	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
k141_1885478_3	k141_1885478	gb|WP_063864115.1|ARO:3005734|OXA-504	98.5	264	265	1	264	264	1	264	7.15e-194	529.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	75.12994		bin_21	Binning	bin_21	1.5597577	108.66003	24.24024	71529.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_988739_1	k141_988739	DQ464881.1.gene4.p01	97.8	139	140	1	139	163	25	163	4.31e-98	277.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	III	plasmid	11.334721	unmob	bin_8	Binning	bin_8	0.10124884	7.053468	1.569448	4631.2456	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JAEUMG01;s__
k141_792952_8	k141_792952	NC_002695.1.914620.p01	100.0	397	398	1	397	397	1	397	2.36e-275	746.0	multicomponent system	multidrug	multidrug__Escherichia coli acrA	Escherichia coli acrA	Efflux pump			Yes	Yes	Yes	IV	plasmid	20.432135	unmob	bin_23	Binning	bin_23	1.4092869	98.177505	22.463017	66285.555	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__AWTP1-35;s__AWTP1-35 sp003962875
k141_1481869_7	k141_1481869	ZP_04626871	81.5	124	129	3	126	269	145	268	7.04e-63	191.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.199632		bin_79	Binning	bin_79	0.08556887	5.9611278	1.3299128	3924.408	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__
k141_1259164_4	k141_1259164	NC_010410.6003262.p01	89.5	325	325	1	325	507	1	325	1.46e-209	581.0	multicomponent system	multidrug	multidrug__emrB	emrB	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.20569		bin_76	Binning	bin_76	0.19261156	13.418223	3.01798	8905.685	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter towneri
k141_1292181_5	k141_1292181	gb|AVX52225.1|ARO:3004516|MCR-8	82.1	28	30	3	30	565	268	295	2.13e-10	50.8		polymyxin	polymyxin__mcr-8.1	mcr-8.1	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	7.5511265		bin_73	Binning	bin_73	0.12032181	8.38218	1.8621444	5494.9565	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis
k141_3107508_7	k141_3107508	AJ514254.gene.p01	93.1	637	640	1	637	640	1	637	0.0	1148.0		tetracycline	tetracycline__tet(36)	tet(36)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	23.374117	unmob	bin_38	Binning	bin_38	0.3225314	22.469048	4.996684	14744.592	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_414975_33	k141_414975	M15332.gene.p01	99.6	244	245	1	244	244	1	244	1.43e-174	478.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(G)	erm(G)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	7.048796		bin_50	Binning	bin_50	0.11646837	8.113731	1.8132982	5350.8174	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA1368;s__UBA1368 sp002305965
k141_2703246_1	k141_2703246	ZP_03466816	80.6	36	36	1	36	264	1	36	5.6e-13	58.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.114124		bin_63	Binning	bin_63	0.16423306	11.441243	2.5855193	7629.548	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Chelonobacter;s__
