qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-ads_577436-checked_1.fq Relative Abundance (%)	swh-ads_577436-checked_1.fq Mean	swh-ads_577436-checked_1.fq RPKM	swh-ads_577436-checked_1.fq TPM	host_taxonomy
k141_3488973_5	k141_3488973	gb|ABW91178.1|ARO:3002613|aadA13	100.0	21	22	1	21	265	245	265	4.42e-09	46.6		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	1.6590503		bin_5	Binning	bin_5	0.0534449	3.3132343	0.6013164	2000.9384	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__QKMZ01;s__
k141_4156997_2	k141_4156997	gi|496592990|ref|WP_009288847.1|	97.5	408	409	1	408	408	1	408	2.02e-277	752.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	4.7984567	unmob	bin_170	Hi-C	bin_170	0.121376134	7.5245266	1.3627259	4534.6016	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp003483345
k141_4574152_1	k141_4574152	gb|ACJ63262.1|ARO:3003107|mefB	97.3	409	410	1	409	409	1	409	3.5400000000000003e-283	767.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	19.110353	unmob	bin_138	Hi-C	bin_138	0.0658029	4.0793495	0.74074787	2464.9102	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__
k141_4602829_3	k141_4602829	gb|ACJ63262.1|ARO:3003107|mefB	90.9	44	44	1	44	409	1	44	7.149999999999999e-23	86.7		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	4.6525564		bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_5888347_7	k141_5888347	gb|ACJ63262.1|ARO:3003107|mefB	85.1	67	68	1	67	409	340	406	2.0200000000000002e-35	121.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	3.896378		bin_116	Binning	bin_116	0.12612666	7.819028	1.4158583	4711.4053	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA1368;s__UBA1368 sp002305965
k141_5888425_7	k141_5888425	gb|ACJ63262.1|ARO:3003107|mefB	86.6	67	68	1	67	409	340	406	7.420000000000001e-36	122.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	4.4457574		bin_140	Binning	bin_140	0.1827528	11.329479	2.0502417	6822.3765	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__PHAA01;s__PHAA01 sp022706565
k141_4586364_2	k141_4586364	Z21523.gene.p01	98.6	657	658	1	657	657	1	657	0.0	1287.0		tetracycline	tetracycline__tet(Q)	tet(Q)	Antibiotic target protection			Yes	Yes	Yes	III	genome	1.1624537		bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_4588172_6	k141_4588172	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	2.6322544	unmob	bin_135	Hi-C	bin_135	0.07821416	4.8487663	0.88084537	2931.0972	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Aquisediminimonas;s__
k141_3364518_3	k141_3364518	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	15.220967	unmob	bin_142	Hi-C	bin_142	0.109946944	6.8159914	1.2314397	4097.734	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_6230316_3	k141_6230316	gi|730661043|ref|WP_034065992.1|	99.0	404	405	1	404	404	1	404	1.27e-278	755.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	6.5607305	unmob	bin_102	Hi-C	bin_102	0.13526322	8.385435	1.5225542	5066.446	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
k141_6230316_7	k141_6230316	AF133140.gene.p01	96.0	321	321	1	321	391	1	321	2.49e-214	588.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	6.5607305	unmob	bin_102	Hi-C	bin_102	0.13526322	8.385435	1.5225542	5066.446	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
k141_5144521_37	k141_5144521	gb|CAA03986.1|ARO:3000343|tap	88.7	408	410	1	408	409	1	408	4.5100000000000006e-247	676.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	9.464963		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_3364518_1	k141_3364518	ZP_03028124	100.0	267	268	1	267	335	69	335	2.11e-190	523.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	15.220967	unmob	bin_142	Hi-C	bin_142	0.109946944	6.8159914	1.2314397	4097.734	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_3364518_2	k141_3364518	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	15.220967	unmob	bin_142	Hi-C	bin_142	0.109946944	6.8159914	1.2314397	4097.734	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_3782567_22	k141_3782567	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.327117		bin_107	Binning	bin_107	0.21660827	13.428296	2.4616199	8191.2764	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp020848515
k141_3970309_5	k141_3970309	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.9449377		bin_142	Binning	bin_142	0.109946944	6.8159914	1.2314397	4097.734	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_5432881_4	k141_5432881	AB104852.1.gene6.p01	100.0	278	279	1	278	279	2	279	2.04e-198	541.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	25.321579	unmob	bin_160	Hi-C	bin_160	0.038484477	2.3857858	0.4453085	1481.807	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
k141_4223384_5	k141_4223384	AAT49071	88.9	63	80	16	78	78	16	78	5.68e-38	120.0		trimethoprim	trimethoprim__dfrB2	dfrB2	Antibiotic target replacement	dihydrofolate reductase		Yes	Yes	Yes	IV	genome	1.6049074		bin_37	Binning	bin_37	0.02956556	1.8328713	0.32762796	1090.2136	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__PWPN01;g__;s__
k141_135081_89	k141_135081	gb|AAC43550.1|ARO:3003967|lrfA	83.8	505	510	1	505	504	1	504	2.15e-278	763.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	9.369334		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_145588_12	k141_145588	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	3.922107		bin_238	Binning	bin_238	0.043835614	2.7175214	0.49351993	1642.2355	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__
k141_3858804_4	k141_3858804	gb|ABR14060.1|ARO:3002838|lnuD	80.5	164	165	1	164	164	1	164	3.16e-100	284.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	5.707915		bin_200	Binning	bin_200	0.04513993	2.7983806	0.504764	1679.6503	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Atribacteraceae;g__Atribacter;s__Atribacter sp002069605
k141_1464351_6	k141_1464351	gb|ABR14060.1|ARO:3002838|lnuD	81.7	164	165	1	164	164	1	164	4.68e-102	288.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	2.6016881		bin_200	Binning	bin_200	0.04513993	2.7983806	0.504764	1679.6503	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Atribacteraceae;g__Atribacter;s__Atribacter sp002069605
k141_5082452_25	k141_5082452	gi|602542163|emb|CDO24964.1|	98.8	410	429	19	428	410	1	410	2.2000000000000002e-273	743.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	10.780125		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4701587_5	k141_4701587	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	39	39	1	39	388	1	39	1.69e-20	79.7		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	3.0003958		bin_95	Binning	bin_95	0.039878912	2.4722319	0.4486297	1492.8586	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__
k141_5915628_45	k141_5915628	AF001493.1.orf0.gene.p01	82.5	137	140	3	139	143	7	143	2.83e-85	244.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	8.799787		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_189719_1	k141_189719	gi|754690915|ref|WP_042068827.1|	99.2	237	237	1	237	273	1	237	1.21e-173	477.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	39.44578	unmob	bin_82	Hi-C	bin_82	0.09431963	5.8472	1.0649972	3543.881	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_189719_1	k141_189719	gi|754690915|ref|WP_042068827.1|	99.2	237	237	1	237	273	1	237	1.21e-173	477.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	39.44578	unmob	bin_123	Hi-C	bin_123	0.064211965	3.980722	0.72896165	2425.691	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__QY30;s__
k141_189719_2	k141_189719	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	39.44578	unmob	bin_82	Hi-C	bin_82	0.09431963	5.8472	1.0649972	3543.881	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_189719_2	k141_189719	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	39.44578	unmob	bin_123	Hi-C	bin_123	0.064211965	3.980722	0.72896165	2425.691	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__QY30;s__
k141_630046_4	k141_630046	gb|WP_148044424.1|ARO:3006964|PAU-1	98.3	293	294	1	293	293	1	293	6.38e-207	564.0		beta_lactam	beta_lactam__PAU-1								IV	plasmid	10.889549	unmob	bin_53	Binning	bin_53	0.23103899	14.322906	2.583736	8597.632	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__
k141_1450764_2	k141_1450764	AJ514254.gene.p01	93.1	637	640	1	637	640	1	637	0.0	1146.0		tetracycline	tetracycline__tet(36)	tet(36)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	14.667116	unmob	bin_202	Hi-C	bin_202	0.12833695	7.956052	1.4301132	4758.8384	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__
k141_1852601_6	k141_1852601	AF319779.2.orf0.gene.p01	83.8	37	37	1	37	266	1	37	6.16e-16	66.2		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	5.376268		bin_174	Binning	bin_174	0.08281974	5.1342826	0.92873216	3090.4458	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__CG2-30-32-10;g__CAINEZ01;s__
k141_5562597_4	k141_5562597	WP_000691758	100.0	639	640	1	639	639	1	639	0.0	1274.0		tetracycline	tetracycline__tet(O)	tet(O)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	2.45725	unmob	bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_5963109_1	k141_5963109	AY115475.1.gene2.p01	99.6	266	267	1	266	266	1	266	2.2999999999999998e-191	523.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	12.081757		bin_152	Binning	bin_152	0.17726202	10.989085	1.9748423	6571.4766	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__
k141_5587234_4	k141_5587234	AAL05554	100.0	267	268	1	267	267	1	267	6.09e-192	524.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(E)	lsa(E)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	I	plasmid	5.7861776	unmob	bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_6408757_6	k141_6408757	gb|AAS76623.1|ARO:3004606|erm(40)	98.8	251	252	1	251	251	1	251	5.01e-183	500.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(40)	erm(40)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	8.460326		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_1572094_3	k141_1572094	ABV82118	100.0	639	640	1	639	639	1	639	0.0	1275.0		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	III	genome	3.7222922		bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_3597970_4	k141_3597970	M55620.gene.p01	99.5	219	220	1	219	219	1	219	9.109999999999999e-170	464.0		chloramphenicol	chloramphenicol__catQ	catQ	Enzymatic inactivation	cat		Yes	Yes	Yes	III	genome	3.987228		bin_41	Binning	bin_41	0.037871767	2.347802	0.42527953	1415.1588	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
k141_1629714_1	k141_1629714	AAK14791	82.6	46	53	2	47	260	210	255	6.710000000000001e-22	82.8		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	1.7628983		bin_84	Binning	bin_84	0.08691574	5.3882074	0.97511494	3244.7878	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__
k141_2021125_12	k141_2021125	gb|ABG65740.1|ARO:3002879|linG	81.0	273	274	1	273	273	1	273	6.710000000000001e-167	461.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	6.7443767		bin_159	Binning	bin_159	0.08268051	5.1256504	0.92953146	3093.1052	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA8958;g__UBA8958;s__
