qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-E_579475-checked_1.fq Relative Abundance (%)	YL-E_579475-checked_1.fq Mean	YL-E_579475-checked_1.fq RPKM	YL-E_579475-checked_1.fq TPM	host_taxonomy
k141_1201404_7	k141_1201404	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	4.4841304	unmob	bin_46	Binning	bin_46	0.09475263	4.8898654	0.61862046	2470.5818	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425
k141_1205494_1	k141_1205494	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	8.513313	unmob	bin_12	Hi-C	bin_12	0.39505288	20.387352	2.6109328	10427.271	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__
k141_1693071_4	k141_1693071	gb|AAG07064.1|ARO:3003693|mexK	82.0	311	311	1	311	1025	1	311	2.68e-180	523.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.0674055		bin_74	Binning	bin_74	0.08464618	4.368305	0.5509934	2200.4993	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA5078;s__UBA5078 sp024234325
k141_1232913_4	k141_1232913	gb|AAG07064.1|ARO:3003693|mexK	83.1	71	82	1	71	1025	952	1022	3.47e-29	107.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	10.420776		bin_30	Binning	bin_30	0.19690602	10.161659	1.2832564	5124.936	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp023954095
k141_1791014_2	k141_1791014	gi|639206639|ref|WP_024544906.1|	82.3	158	159	1	158	158	1	158	9.429999999999999e-90	257.0		aminoglycoside	aminoglycoside__AAC(3)-Id	AAC(3)-Id	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes	IV	genome	43.240383		bin_29	Binning	bin_29	0.8154999	42.08521	5.3635244	21420.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__Thiolinea sp020442915
k141_1104032_4	k141_1104032	U14748.1.gene2.p01	94.0	283	284	1	283	304	22	304	2.92e-187	514.0		beta_lactam	beta_lactam__AER-1	AER-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	7.235173	unmob	bin_43	Binning	bin_43	0.06644202	3.4288497	0.4322009	1726.0786	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__JACKHO01;s__JACKHO01 sp020426515
k141_63975_24	k141_63975	AGC41079.1	92.8	251	257	6	256	255	1	251	3.8899999999999997e-171	471.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	53.06893		bin_61	Binning	bin_61	1.2347089	63.71918	8.14509	32529.012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
k141_1458439_12	k141_1458439	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.695252		bin_41	Binning	bin_41	0.17923178	9.24955	1.1748451	4691.972	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_300990_1	k141_300990	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	41	41	1	41	388	1	41	7.39e-22	83.6		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	5.114325		bin_31	Binning	bin_31	0.14236243	7.3468466	0.93319994	3726.9165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_197021_1	k141_197021	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	18.616426	unmob	bin_31	Hi-C	bin_31	0.14236243	7.3468466	0.93319994	3726.9165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_197021_1	k141_197021	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	18.616426	unmob	bin_35	Hi-C	bin_35	0.31348723	16.178022	2.0645607	8245.225	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__
