qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-i_578603-checked_1.fq Relative Abundance (%)	s-i_578603-checked_1.fq Mean	s-i_578603-checked_1.fq RPKM	s-i_578603-checked_1.fq TPM	host_taxonomy
k141_646548_1	k141_646548	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	74.32501	unmob	bin_56	Hi-C	bin_56	0.41459745	22.965528	4.711246	17725.92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__
k141_80157_6	k141_80157	gb|WP_082741435.1|ARO:3004569|ICR-Mo	80.9	544	544	3	541	558	15	558	0.0	886.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	26.792055		bin_116	Binning	bin_116	0.30579934	16.938944	3.4950526	13150.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__
k141_951473_1	k141_951473	YP_581244	80.0	30	37	5	34	280	8	37	9.96e-10	49.3		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.5467181		bin_115	Binning	bin_115	0.058130264	3.2199721	0.64473754	2425.8054	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JADLFW01;s__
k141_2976973_8	k141_2976973	AJ514254.gene.p01	93.1	637	640	1	637	640	1	637	0.0	1148.0		tetracycline	tetracycline__tet(36)	tet(36)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	23.752045	unmob	bin_114	Binning	bin_114	0.18363759	10.172118	2.0771966	7815.387	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_2699438_7	k141_2699438	YP_001140148	91.9	271	272	1	271	271	1	271	8.38e-176	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	42.264435		bin_80	Binning	bin_80	0.6471447	35.846867	7.339683	27615.334	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_4500608_1	k141_4500608	gb|WP_043155783.1|ARO:3006477|MOX-12	100.0	86	86	1	86	383	1	86	2.11e-55	174.0		beta_lactam	beta_lactam__MOX-7	CMY-LAT-MOX	Enzymatic inactivation	Class C beta-lactamase					IV	genome	33.450275		bin_80	Binning	bin_80	0.6471447	35.846867	7.339683	27615.334	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_1864119_1	k141_1864119	gb|WP_096807444.1|ARO:3006478|MOX-13	99.2	256	257	1	256	383	128	383	1.99e-185	512.0		beta_lactam	beta_lactam__MOX-7	CMY-LAT-MOX	Enzymatic inactivation	Class C beta-lactamase					III	genome	28.462957		bin_80	Binning	bin_80	0.6471447	35.846867	7.339683	27615.334	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_1717875_11	k141_1717875	YP_970399	86.4	272	276	1	272	274	1	272	3.2e-168	465.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.7383375		bin_97	Binning	bin_97	0.121667296	6.7394385	1.3998799	5267.007	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__
k141_4193446_1	k141_4193446	CAG34229	93.9	66	67	2	67	198	19	84	2.98e-41	131.0		aminoglycoside	aminoglycoside__ANT(2'')-Ia	ANT(2'')-Ia	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(2'')	Yes	Yes	Yes	IV	genome	6.362979		bin_55	Binning	bin_55	0.14837758	8.218984	1.6937737	6372.7744	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Pelomonas;s__
k141_1446954_1	k141_1446954	gb|AAA27459.1|ARO:3004683|aadS	85.0	287	327	40	326	287	1	287	6.8e-184	507.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	13.183104		bin_99	Binning	bin_99	0.13420717	7.434051	1.5538449	5846.294	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
k141_3662576_5	k141_3662576	FM897214.1.orf2.gene.p01	92.8	83	84	1	83	150	68	150	2.6300000000000002e-56	169.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	3.1380131		bin_102	Binning	bin_102	0.122102566	6.7635493	1.3802332	5193.0845	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp008015595
k141_1360993_3	k141_1360993	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	8.201073		bin_89	Binning	bin_89	0.1173175	6.4984927	1.332804	5014.634	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
k141_1123790_5	k141_1123790	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	8.230232		bin_96	Binning	bin_96	0.083129644	4.604747	0.93566936	3520.4277	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
