qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-AS_578825-checked_1.fq Relative Abundance (%)	YL-AS_578825-checked_1.fq Mean	YL-AS_578825-checked_1.fq RPKM	YL-AS_578825-checked_1.fq TPM	host_taxonomy
k141_844224_1	k141_844224	AAZ14842	100.0	55	56	1	55	406	352	406	2.62e-29	104.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	31.844046	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_844224_1	k141_844224	AAZ14842	100.0	55	56	1	55	406	352	406	2.62e-29	104.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	31.844046	unmob	bin_78	Hi-C	bin_78	0.15547034	7.4358397	0.9290309	4007.346	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudogemmobacter;s__
k141_844224_2	k141_844224	ZP_03028124	100.0	263	264	1	263	335	73	335	6.97e-188	516.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	31.844046	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_844224_2	k141_844224	ZP_03028124	100.0	263	264	1	263	335	73	335	6.97e-188	516.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	31.844046	unmob	bin_78	Hi-C	bin_78	0.15547034	7.4358397	0.9290309	4007.346	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudogemmobacter;s__
k141_1649246_30	k141_1649246	gi|223886324|gb|ACN22617.1|	98.6	281	282	1	281	281	1	281	7.74e-202	550.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	21.208807		bin_84	Binning	bin_84	0.5396226	25.809088	3.2532575	14032.826	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_464548_9	k141_464548	gi|1011069317|ref|WP_062010695.1|	80.0	30	39	1	30	614	573	602	2.92e-09	48.1		novobiocin	novobiocin__novA	novA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.051287		bin_85	Binning	bin_85	0.3337457	15.9623995	1.9972181	8614.941	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__
k141_2659635_10	k141_2659635	gb|WP_072678505.1|ARO:3005937|OXA-732	100.0	266	267	1	266	266	1	266	5.7e-201	547.0		beta_lactam	beta_lactam__OXA-36	OXA	Enzymatic inactivation	Class D beta-lactamase					IV	genome	119.714806		bin_60	Binning	bin_60	0.4463831	21.349625	2.67299	11529.857	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_1672455_3	k141_1672455	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	24.496883		bin_61	Binning	bin_61	0.39765596	19.019102	2.3785717	10259.8955	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_2275858_4	k141_2275858	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	40	40	1	40	388	1	40	4.89e-21	81.3		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	15.127356		bin_79	Binning	bin_79	0.50949407	24.368097	3.0552626	13178.779	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_111194_4	k141_111194	gb|AAZ42322.1|ARO:3003836|qacH	99.1	110	111	1	110	110	1	110	5.4000000000000005e-73	211.0		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.6755319		bin_88	Binning	bin_88	0.109916344	5.257082	0.6594091	2844.3408	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__
k141_2707496_1	k141_2707496	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	19.191412	unmob	bin_60	Hi-C	bin_60	0.4463831	21.349625	2.67299	11529.857	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_1910328_4	k141_1910328	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	7.0513816	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_1946128_3	k141_1946128	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	10.083706	unmob	bin_69	Binning	bin_69	0.39399463	18.843988	2.362867	10192.157	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495
k141_1361180_1	k141_1361180	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	91	92	1	91	115	25	115	2.28e-61	181.0		multidrug	multidrug__qacEdelta1								IV	plasmid	122.03548	unmob	bin_55	Hi-C	bin_55	0.72810715	34.823933	4.3616037	18813.64	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea
k141_1361180_2	k141_1361180	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	122.03548	unmob	bin_55	Hi-C	bin_55	0.72810715	34.823933	4.3616037	18813.64	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea
k141_367759_1	k141_367759	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	28.466211	unmob	bin_79	Hi-C	bin_79	0.50949407	24.368097	3.0552626	13178.779	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_776033_6	k141_776033	YP_981592	81.2	277	278	1	277	277	1	277	7.22e-157	436.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.2565365		bin_44	Binning	bin_44	0.13760626	6.5814366	0.8320954	3589.2185	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp024236015
k141_2772527_2	k141_2772527	AB114632.1.gene2.p01	95.5	265	316	51	315	265	1	265	2.85e-177	489.0		aminoglycoside	aminoglycoside__aadA7	aadA7	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	4.535586		bin_77	Binning	bin_77	0.12286389	5.876338	0.7472156	3223.0913	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax;s__
