qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-E_580007-checked_1.fq Relative Abundance (%)	TP-E_580007-checked_1.fq Mean	TP-E_580007-checked_1.fq RPKM	TP-E_580007-checked_1.fq TPM	host_taxonomy
k141_4145945_79	k141_4145945	AF319779.2.orf0.gene.p01	97.0	266	267	1	266	266	1	266	5.8100000000000004e-185	506.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	5.762027		bin_90	Binning	bin_90	0.11131098	6.2262707	0.9975126	3632.4985	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Parvicellaceae;g__Parvicella;s__
k141_661934_1	k141_661934	AF319779.2.orf0.gene.p01	86.5	52	52	1	52	266	1	52	1.38e-26	95.1		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	3.4799583		bin_157	Binning	bin_157	0.03753586	2.0995991	0.33341104	1214.1353	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-002722245;g__;s__
k141_2782469_1	k141_2782469	gi|692128548|ref|WP_032084014.1|	98.8	82	82	1	82	406	1	82	2.24e-51	164.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	9.208186	unmob	bin_37	Binning	bin_37	0.06824588	3.8173895	0.61260927	2230.8503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
k141_2782469_2	k141_2782469	AF043381.1.gene2.p01	100.0	195	198	3	197	203	9	203	1.7500000000000002e-144	399.0		aminoglycoside	aminoglycoside__AAC(6')-Ib9	AAC(6')-Ib7-9-10	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	9.208186	unmob	bin_37	Binning	bin_37	0.06824588	3.8173895	0.61260927	2230.8503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
k141_2782469_3	k141_2782469	AY115475.1.gene2.p01	99.6	266	267	1	266	266	1	266	2.2999999999999998e-191	523.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	9.208186	unmob	bin_37	Binning	bin_37	0.06824588	3.8173895	0.61260927	2230.8503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
k141_606319_5	k141_606319	AAK14791	100.0	260	261	1	260	260	1	260	1.19e-190	520.0		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	26.961174		bin_75	Binning	bin_75	0.111655146	6.245522	1.0099972	3677.963	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__
k141_2560804_3	k141_2560804	gi|749030947|ref|WP_040078663.1|	80.3	157	158	1	157	301	145	301	2.3399999999999998e-91	266.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	2.7444575		bin_2	Binning	bin_2	0.08405306	4.7015767	0.7521348	2738.9417	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JACKEA01;s__JACKEA01 sp020633235
k141_2839890_2	k141_2839890	AF458080.1.gene3.p01	100.0	419	420	1	419	419	1	419	6.599999999999999e-300	810.0		chloramphenicol	chloramphenicol__cmlA5	cmlA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	40.07641	unmob	bin_58	Binning	bin_58	0.07721415	4.3190365	0.6878344	2504.787	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ch67;s__
k141_2839890_4	k141_2839890	ZP_03028124	100.0	263	264	1	263	335	73	335	6.97e-188	516.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	40.07641	unmob	bin_58	Binning	bin_58	0.07721415	4.3190365	0.6878344	2504.787	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ch67;s__
k141_2847136_20	k141_2847136	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	21.044874	mob_unconj	bin_94	Binning	bin_94	0.13202725	7.3850527	1.1847639	4314.384	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_3422992_1	k141_3422992	gb|WP_148044424.1|ARO:3006964|PAU-1	96.2	236	268	33	268	293	1	236	2e-162	451.0		beta_lactam	beta_lactam__PAU-1								IV	plasmid	1.3395872	unmob	bin_78	Hi-C	bin_78	0.09584326	5.361071	0.85751873	3122.703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__
k141_1522497_19	k141_1522497	gb|BAL43360.1|ARO:3003745|mefC	99.8	407	408	1	407	407	1	407	1.26e-275	748.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(C)	mef(C)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.3821223	unmob	bin_118	Binning	bin_118	0.059871502	3.3489616	0.60128146	2189.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__VMDK01;s__VMDK01 sp020635435
k141_1522497_20	k141_1522497	gb|BAL43359.1|ARO:3003742|mphG	99.3	294	295	1	294	294	1	294	8.500000000000001e-217	589.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(G)	mph(G)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.3821223	unmob	bin_118	Binning	bin_118	0.059871502	3.3489616	0.60128146	2189.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__VMDK01;s__VMDK01 sp020635435
k141_2363660_1	k141_2363660	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	13.697289	unmob	bin_115	Binning	bin_115	0.07605883	4.2544127	0.68144774	2481.5303	d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Zapsychraceae;g__JAGOSC01;s__JAGOSC01 sp020429915
k141_2687623_1	k141_2687623	BAE71359	89.1	311	354	40	350	329	19	329	2.68e-198	546.0		beta_lactam	beta_lactam__CARB-3	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	4.9228687		bin_37	Binning	bin_37	0.06824588	3.8173895	0.61260927	2230.8503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
k141_4023152_2	k141_4023152	AAR05762	100.0	234	236	2	235	301	68	301	1.39e-167	462.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	plasmid	1.3671875	unmob	bin_58	Hi-C	bin_58	0.07721415	4.3190365	0.6878344	2504.787	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ch67;s__
k141_4060340_10	k141_4060340	AUI09862.1	80.8	26	28	1	26	287	261	286	2.92e-08	44.7		sulfonamide	sulfonamide__sul4	sul4	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	genome	3.4718158		bin_21	Binning	bin_21	0.06635113	3.7114046	0.5899738	2148.422	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__JACSRF01;s__
k141_3262665_2	k141_3262665	gi|446641727|ref|WP_000719073.1|	100.0	152	153	1	152	152	1	152	3.43e-114	318.0		trimethoprim	trimethoprim__dfrA14	dfrA14	Antibiotic target replacement	dihydrofolate reductase		Yes	Yes	Yes	III	plasmid	1.2898272	unmob	bin_37	Hi-C	bin_37	0.06824588	3.8173895	0.61260927	2230.8503	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
