qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-i_577286-checked_1.fq Relative Abundance (%)	sh-i_577286-checked_1.fq Mean	sh-i_577286-checked_1.fq RPKM	sh-i_577286-checked_1.fq TPM	host_taxonomy
k141_2763867_2	k141_2763867	BAE54319	99.3	419	420	1	419	419	1	419	5.36e-315	848.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(B)	ere(B)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	II	plasmid	25.180405	unmob	bin_48	Hi-C	bin_48	0.08717096	5.5583773	1.3145037	4271.865	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__;s__
k141_1071763_2	k141_1071763	AF118110.1.gene1.p01	99.7	321	322	1	321	321	1	321	1.1299999999999998e-230	627.0		beta_lactam	beta_lactam__CfxA2	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	18.860706	unmob	bin_25	Hi-C	bin_25	0.084824614	5.4087653	1.2737925	4139.561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_4819829_1	k141_4819829	DQ677333.1.gene1.p01	89.7	29	30	1	29	259	231	259	1.46e-11	53.9		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	6.1001005		bin_74	Binning	bin_74	0.071914405	4.585557	1.0798118	3509.165	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_3479843_1	k141_3479843	JQ861959.1.gene5.p01	100.0	287	288	1	287	287	1	287	2.44e-217	590.0		aminoglycoside	aminoglycoside__ANT(6)-Ia	ANT(6)	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	I	plasmid	30.521223	unmob	bin_50	Binning	bin_50	0.21705681	13.840432	3.2876372	10684.141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
k141_2887552_2	k141_2887552	gb|ACJ63262.1|ARO:3003107|mefB	97.1	409	410	1	409	409	1	409	1.0199999999999998e-282	766.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	7.384063	unmob	bin_61	Binning	bin_61	0.4915828	31.345335	7.378597	23978.916	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_4173660_1	k141_4173660	gb|AAC75314.1|ARO:3003578|pmrF	90.7	54	67	1	54	322	262	315	5.0899999999999994e-30	105.0		polymyxin	polymyxin__pmrF	pmrF	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	2.3495417		bin_22	Binning	bin_22	0.12646943	8.064209	1.9078261	6200.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__HKST-UBA178;s__HKST-UBA178 sp020445405
k141_4173660_2	k141_4173660	gi|851899656|ref|WP_048211088.1|	80.7	657	662	1	657	660	1	657	0.0	1105.0		polymyxin	polymyxin__arnA	arnA	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	2.3495417		bin_22	Binning	bin_22	0.12646943	8.064209	1.9078261	6200.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__HKST-UBA178;s__HKST-UBA178 sp020445405
k141_4872173_1	k141_4872173	AAY68306	97.1	348	348	1	348	405	1	348	6.219999999999999e-230	629.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	7.7888365	unmob	bin_68	Hi-C	bin_68	0.10714176	6.831798	1.6150159	5248.469	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAEZYS01;s__
k141_4547439_1	k141_4547439	ACI02892	96.0	327	327	1	327	404	1	327	4.3800000000000003e-215	591.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	3.2496705	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_1824818_2	k141_1824818	gi|504870756|ref|WP_015057858.1|	96.1	363	363	1	363	404	1	363	4.59e-238	650.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	72.10423	unmob	bin_50	Hi-C	bin_50	0.21705681	13.840432	3.2876372	10684.141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
k141_807959_1	k141_807959	NC_002758.1120355.p01	99.1	106	107	1	106	639	534	639	6.25e-70	218.0		tetracycline	tetracycline__tet(M)	tet(M)	Antibiotic target protection			Yes	Yes	Yes	III	genome	7.9252777		bin_70	Binning	bin_70	0.048023265	3.0621603	0.7134705	2318.6313	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibro-01;s__Fibro-01 sp001462345
k141_4593837_1	k141_4593837	KJ363320.1.gene3.p01	100.0	38	38	1	38	259	1	38	7.82e-19	73.9		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	4.22326		bin_60	Binning	bin_60	0.14709793	9.379567	2.2177007	7207.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_489036_20	k141_489036	gi|38231197|gb|AAR14532.1|	92.6	258	260	2	259	263	6	263	1.44e-171	472.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	genome	15.657562		bin_32	Binning	bin_32	0.09826731	6.265927	1.4760371	4796.817	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea
k141_495605_1	k141_495605	AAL05554	99.6	267	268	1	267	267	1	267	1.4399999999999998e-190	521.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(E)	lsa(E)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	I	plasmid	35.159317	unmob	bin_50	Binning	bin_50	0.21705681	13.840432	3.2876372	10684.141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
k141_495605_7	k141_495605	M55620.gene.p01	99.5	219	220	1	219	219	1	219	9.109999999999999e-170	464.0		chloramphenicol	chloramphenicol__catQ	catQ	Enzymatic inactivation	cat		Yes	Yes	Yes	III	plasmid	35.159317	unmob	bin_50	Binning	bin_50	0.21705681	13.840432	3.2876372	10684.141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
k141_3577239_2	k141_3577239	YP_002552549	83.6	274	275	1	274	274	1	274	1.6300000000000002e-163	453.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.347303		bin_45	Binning	bin_45	0.15224317	9.707648	2.2967296	7463.8984	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_4976384_17	k141_4976384	YP_002552549	80.3	269	270	1	269	274	6	274	2.6299999999999997e-147	412.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.102018		bin_29	Binning	bin_29	0.14017543	8.93816	2.131575	6927.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_2974081_8	k141_2974081	YP_002552549	82.1	274	275	1	274	274	1	274	2.57e-160	445.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	7.120284		bin_45	Binning	bin_45	0.15224317	9.707648	2.2967296	7463.8984	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_2199872_1	k141_2199872	NC_010410.6003052.p01	100.0	162	173	11	172	163	2	163	2.8100000000000002e-123	342.0		rifamycin	rifamycin__arr-2	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	plasmid	16.4901	unmob	bin_60	Hi-C	bin_60	0.14709793	9.379567	2.2177007	7207.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_2199872_2	k141_2199872	AY115475.1.gene4.p01	99.5	419	420	1	419	419	1	419	7.69e-299	807.0		chloramphenicol	chloramphenicol__cmlA5	cmlA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	16.4901	unmob	bin_60	Hi-C	bin_60	0.14709793	9.379567	2.2177007	7207.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_2199872_4	k141_2199872	ZP_03028124	99.6	263	264	1	263	335	73	335	6.97e-188	516.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	16.4901	unmob	bin_60	Hi-C	bin_60	0.14709793	9.379567	2.2177007	7207.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_5255663_6	k141_5255663	gb|AAF42062.1|ARO:3000811|mtrD	83.8	68	90	1	68	1067	974	1041	1.7900000000000002e-31	114.0	multicomponent system	multidrug	multidrug__mtrD	mtrD	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.9211512		bin_113	Binning	bin_113	0.04988828	3.181081	0.74315244	2415.0916	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2999608_12	k141_2999608	gb|AAF42062.1|ARO:3000811|mtrD	81.8	1066	1073	1	1066	1067	1	1066	0.0	1660.0	multicomponent system	multidrug	multidrug__mtrD	mtrD	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.6518826		bin_74	Binning	bin_74	0.071914405	4.585557	1.0798118	3509.165	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2887552_4	k141_2887552	YP_001389621	82.1	201	202	1	201	212	12	212	8.62e-130	362.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	III	plasmid	7.384063	unmob	bin_61	Binning	bin_61	0.4915828	31.345335	7.378597	23978.916	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_4265493_4	k141_4265493	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	42.14898	unmob	bin_17	Binning	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_4265493_5	k141_4265493	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	42.14898	unmob	bin_17	Binning	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_4265493_7	k141_4265493	gi|692128548|ref|WP_032084014.1|	99.3	406	407	1	406	406	1	406	7.85e-290	783.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	42.14898	unmob	bin_17	Binning	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_547428_4	k141_547428	gb|WP_104531869.1|ARO:3006940|LHK-6	96.7	390	391	1	390	390	1	390	8.259999999999999e-277	749.0		beta_lactam	beta_lactam__Laribacter hongkongensis ampC beta-lactamase	Laribacter hongkongensis ampC beta-lactamase	Enzymatic inactivation	Class C beta-lactamase					IV	genome	3.0542734		bin_63	Binning	bin_63	0.06730402	4.29158	1.0111195	3285.9294	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis
k141_5351658_4	k141_5351658	BAC67144	100.0	396	397	1	396	396	1	396	6.26e-275	745.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	19.870008	unmob	bin_63	Hi-C	bin_63	0.06730402	4.29158	1.0111195	3285.9294	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis
k141_3034056_2	k141_3034056	FN594949.1.gene24.p01	96.7	640	641	1	640	640	1	640	0.0	1233.0		tetracycline	tetracycline__tet(44)	tet(44)	Antibiotic target protection			Yes	Yes	Yes	III	genome	5.9948115		bin_35	Binning	bin_35	0.2901185	18.499144	4.3845215	14248.788	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
k141_2375903_2	k141_2375903	P30898	99.0	296	297	1	296	296	1	296	4.5300000000000006e-213	580.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	4.910499		bin_25	Binning	bin_25	0.084824614	5.4087653	1.2737925	4139.561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_2033435_5	k141_2033435	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	9.540508		bin_25	Binning	bin_25	0.084824614	5.4087653	1.2737925	4139.561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
