qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-e_579967-checked_1.fq Relative Abundance (%)	sh-e_579967-checked_1.fq Mean	sh-e_579967-checked_1.fq RPKM	sh-e_579967-checked_1.fq TPM	host_taxonomy
k141_2148952_21	k141_2148952	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.444161		bin_53	Binning	bin_53	0.2970732	15.101965	2.0611072	8261.669	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum
k141_4550608_6	k141_4550608	gb|ADV91011.1|ARO:3000245|RbpA	97.3	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	11.964068		bin_77	Binning	bin_77	0.2694257	13.696482	1.8650297	7475.717	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_390933_9	k141_390933	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	27.837593		bin_94	Binning	bin_94	1.3256915	67.39264	9.2171135	36945.55	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2549287_9	k141_2549287	gb|ADV91011.1|ARO:3000245|RbpA	92.3	26	28	1	26	114	1	26	9.06e-12	52.4		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.5574389		bin_127	Binning	bin_127	0.24788499	12.601441	1.7003614	6815.6685	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002313585
k141_1159282_6	k141_1159282	gb|ADV91011.1|ARO:3000245|RbpA	98.2	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	33.88983		bin_41	Binning	bin_41	0.8155237	41.45783	5.6289163	22562.742	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438845
k141_3870837_4	k141_3870837	gb|AAC43550.1|ARO:3003967|lrfA	81.7	503	509	1	503	504	1	503	2.78e-269	740.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	27.905392		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_3058840_31	k141_3058840	gb|AAC43550.1|ARO:3003967|lrfA	82.3	504	509	1	504	504	1	504	3.0800000000000003e-273	750.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	20.921886		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_667258_2	k141_667258	gi|740779740|ref|WP_038565024.1|	97.4	428	429	1	428	428	1	428	1.81e-281	764.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	23.332262		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_3288428_7	k141_3288428	U41471.1.gene1.p01	87.3	197	198	1	197	195	1	195	1.2899999999999999e-126	353.0		aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes	IV	genome	21.110167		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_3315860_9	k141_3315860	U41471.1.gene1.p01	100.0	159	160	1	159	195	37	195	2.32e-119	333.0		aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes	IV	genome	28.285866		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_2099065_6	k141_2099065	BAC67151	98.1	53	53	1	53	391	1	53	7.39e-26	95.1		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.484971	unmob	bin_55	Hi-C	bin_55	0.18829265	9.572015	1.296051	5195.046	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_2099065_2	k141_2099065	gi|730661043|ref|WP_034065992.1|	100.0	404	405	1	404	404	1	404	3.81e-280	759.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.484971	unmob	bin_55	Hi-C	bin_55	0.18829265	9.572015	1.296051	5195.046	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_2713313_1	k141_2713313	gb|CCP45647.1|ARO:3003955|efpA	87.7	220	236	17	236	530	43	262	3.48e-127	369.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	25.819098		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_1024222_3	k141_1024222	gb|CCP45647.1|ARO:3003955|efpA	80.5	488	507	17	503	530	43	530	1.22e-271	747.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	20.46967		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_2399739_5	k141_2399739	A4VLM0	83.9	274	277	1	274	276	1	274	1.2000000000000001e-166	461.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.6244395		bin_49	Binning	bin_49	0.05467609	2.779505	0.37498572	1503.0793	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E leptonychotis
k141_4220273_2	k141_4220273	gb|CAA03986.1|ARO:3000343|tap	96.8	409	410	1	409	409	1	409	1.9200000000000002e-271	737.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	18.848051		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_3756303_9	k141_3756303	gb|CAA03986.1|ARO:3000343|tap	91.3	404	409	1	404	409	1	404	4.99e-253	691.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	21.364544		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_2112689_61	k141_2112689	gi|1039567692|ref|WP_064895059.1|	100.0	203	204	1	203	294	1	203	1.7299999999999999e-137	385.0		beta_lactam	beta_lactam__blaF	blaF	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	13.6689625		bin_21	Binning	bin_21	0.27471337	13.965284	1.8976227	7606.365	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia polyisoprenivorans
k141_2112689_62	k141_2112689	gi|1040008945|ref|WP_065071331.1|	100.0	79	80	1	79	294	216	294	5.2e-50	157.0		beta_lactam	beta_lactam__blaF	blaF	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	13.6689625		bin_21	Binning	bin_21	0.27471337	13.965284	1.8976227	7606.365	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia polyisoprenivorans
k141_1840958_2	k141_1840958	AY487229.1.gene4.p01	99.2	246	247	1	246	246	1	246	6.8700000000000005e-183	499.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(39)	erm(39)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	27.130335		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_1540542_3	k141_1540542	gb|ADT70779.1|ARO:3001805|OXA-198	80.2	257	259	1	257	262	5	261	4.0599999999999997e-150	418.0		beta_lactam	beta_lactam__OXA-198	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	9.319225		bin_42	Binning	bin_42	0.18373215	9.340178	1.2680378	5082.758	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAAEPA01;f__JAAEPA01;g__JAAEPA01;s__
k141_3336811_8	k141_3336811	AY289608.1.gene2.p01	94.5	274	338	1	274	275	1	274	2.42e-193	531.0		beta_lactam	beta_lactam__OXA-53	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	2.7908251		bin_104	Binning	bin_104	0.062902	3.197676	0.42850348	1717.598	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__
k141_3338034_12	k141_3338034	ZP_03541894	88.0	25	25	1	25	274	1	25	7.1e-09	46.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.421401		bin_9	Binning	bin_9	0.07816155	3.9734082	0.5382229	2157.3933	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium_A;s__
k141_2443881_25	k141_2443881	YP_002890644	94.5	274	275	1	274	274	1	274	9.62e-188	514.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.7639937		bin_101	Binning	bin_101	0.113235794	5.756437	0.77908564	3122.8594	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp003963015
k141_4572149_19	k141_4572149	gb|AAG07064.1|ARO:3003693|mexK	82.8	1022	1027	1	1022	1025	1	1022	0.0	1652.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.9892704		bin_49	Binning	bin_49	0.05467609	2.779505	0.37498572	1503.0793	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E leptonychotis
k141_1295012_2	k141_1295012	gi|518176507|ref|WP_019346715.1|	100.0	426	427	1	426	426	1	426	6.45e-290	785.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	25.777445		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_2471011_1	k141_2471011	AF133140.gene.p01	96.1	385	386	1	385	391	7	391	6.73e-259	704.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.542659	unmob	bin_55	Hi-C	bin_55	0.18829265	9.572015	1.296051	5195.046	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_1095773_2	k141_1095773	AF133140.gene.p01	97.7	391	392	1	391	391	1	391	9.15e-270	731.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.9050016	unmob	bin_55	Hi-C	bin_55	0.18829265	9.572015	1.296051	5195.046	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_3709152_3	k141_3709152	YP_002552549	80.9	272	275	1	272	274	1	272	4.05e-157	437.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.606917		bin_52	Binning	bin_52	0.078209944	3.9758682	0.5358726	2147.9727	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__
k141_1480460_4	k141_1480460	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.9655137		bin_91	Binning	bin_91	0.070428826	3.5803087	0.4861357	1948.6086	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_1032299_19	k141_1032299	AF024666.2.gene33.p01	80.5	385	393	1	385	391	1	385	1.01e-204	567.0		chloramphenicol	chloramphenicol__cmx	cmx	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.451057		bin_44	Binning	bin_44	0.34909	17.746283	2.4062953	9645.306	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia malaquae
k141_2852699_4	k141_2852699	gi|1039518206|ref|WP_064850904.1|	100.0	294	295	1	294	294	1	294	4.160000000000001e-208	567.0		beta_lactam	beta_lactam__blaF	blaF	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	28.96816		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_158416_13	k141_158416	YP_001416709	82.8	268	269	1	268	305	38	305	8.34e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.7585762		bin_73	Binning	bin_73	0.046953116	2.386901	0.319648	1281.2657	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__
k141_1667993_3	k141_1667993	YP_001187672	89.8	1059	1060	1	1059	1059	1	1059	0.0	1830.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	2.453375		bin_49	Binning	bin_49	0.05467609	2.779505	0.37498572	1503.0793	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E leptonychotis
k141_1396524_28	k141_1396524	DQ336355.1.gene5.p01	93.7	254	281	1	254	254	1	254	1.8899999999999999e-168	465.0		aminoglycoside	aminoglycoside__APH(3'')-Ic	APH(3'')-Ic	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	IV	genome	29.900614		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_2366334_12	k141_2366334	gb|AAG44836.1|ARO:3004740|AST-1	99.4	310	311	1	310	310	1	310	1.2e-215	588.0		beta_lactam	beta_lactam__AST-1	AST-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	genome	20.274307		bin_14	Binning	bin_14	0.38939023	19.79498	2.6881776	10775.195	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_B
k141_3226170_3	k141_3226170	YP_001186705	88.0	1010	1017	1	1010	1017	1	1010	0.0	1709.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.9622874		bin_49	Binning	bin_49	0.05467609	2.779505	0.37498572	1503.0793	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E leptonychotis
