qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-ADS_577288-checked_1.fq Relative Abundance (%)	YL-ADS_577288-checked_1.fq Mean	YL-ADS_577288-checked_1.fq RPKM	YL-ADS_577288-checked_1.fq TPM	host_taxonomy
k141_2685931_2	k141_2685931	gi|639206639|ref|WP_024544906.1|	82.3	158	159	1	158	158	1	158	9.429999999999999e-90	257.0		aminoglycoside	aminoglycoside__AAC(3)-Id	AAC(3)-Id	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes	IV	genome	14.290723		bin_38	Binning	bin_38	0.2607639	15.460388	2.0607996	7062.729	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__Thiolinea sp020442915
k141_917666_2	k141_917666	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	27.659256	unmob	bin_29	Hi-C	bin_29	0.21958093	13.018697	1.7292081	5926.3066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_2026439_3	k141_2026439	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	24.940666		bin_36	Binning	bin_36	0.15065575	8.932202	1.1896181	4077.0354	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_2252004_4	k141_2252004	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	6.901885	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_36190_3	k141_36190	AAL05554	99.3	267	268	1	267	267	1	267	2.4799999999999997e-191	523.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(E)	lsa(E)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	I	plasmid	3.5676465	unmob	bin_141	Binning	bin_141	0.06125086	3.6314921	0.48284897	1654.8103	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__RZYP01;s__
k141_44587_2	k141_44587	gi|1028097001|ref|WP_063853698.1|	97.1	408	409	1	408	408	1	408	2.88e-277	752.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	15.854059	unmob	bin_172	Hi-C	bin_172	0.06757758	4.0065956	0.53110266	1820.1837	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp012729715
k141_1172349_1	k141_1172349	gi|223886324|gb|ACN22617.1|	98.6	281	285	4	284	281	1	281	8.74e-202	550.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	35.59597		bin_44	Binning	bin_44	0.7631253	45.24481	6.065205	20786.547	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_1873650_1	k141_1873650	gi|692128548|ref|WP_032084014.1|	99.8	404	405	1	404	406	3	406	5.1e-290	784.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	9.706059	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_1873650_2	k141_1873650	gb|ABW91178.1|ARO:3002613|aadA13	98.8	82	83	1	82	265	5	86	1.93e-50	157.0		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	9.706059	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_1873650_3	k141_1873650	gb|ABW91178.1|ARO:3002613|aadA13	98.8	169	170	1	169	265	97	265	4e-118	333.0		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	9.706059	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_992227_4	k141_992227	YP_001389621	80.5	210	212	2	211	212	3	212	4.9e-134	373.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	III	genome	1.8971572		bin_103	Binning	bin_103	0.06259328	3.7110825	0.4922039	1686.8708	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_3208462_1	k141_3208462	FJ381668.1.gene1.p01	100.0	42	42	1	42	263	1	42	2.47e-20	78.2		aminoglycoside	aminoglycoside__aadA12	aadA12	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	genome	3.058586		bin_39	Binning	bin_39	0.36787865	21.811094	2.8983953	9933.322	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_3482147_5	k141_3482147	AGC41079.1	82.0	250	257	6	255	255	1	250	9.289999999999999e-147	409.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	3.95591		bin_19	Binning	bin_19	0.22678448	13.445786	1.785431	6118.992	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__UBA1413;s__UBA1413 sp012729335
k141_2155541_8	k141_2155541	AF118110.1.gene1.p01	99.7	321	322	1	321	321	1	321	1.1299999999999998e-230	627.0		beta_lactam	beta_lactam__CfxA2	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	3.7136226	unmob	bin_75	Binning	bin_75	0.056822635	3.3689475	0.443696	1520.626	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
k141_2603827_4	k141_2603827	gb|WP_072678505.1|ARO:3005937|OXA-732	100.0	266	267	1	266	266	1	266	5.7e-201	547.0		beta_lactam	beta_lactam__OXA-36	OXA	Enzymatic inactivation	Class D beta-lactamase					IV	genome	62.43213		bin_29	Binning	bin_29	0.21958093	13.018697	1.7292081	5926.3066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_622022_1	k141_622022	gb|CAD91132.1|ARO:3002839|lnuF	99.6	273	274	1	273	273	1	273	7.5e-205	557.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(F)	lnu(F)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	plasmid	3.9755735	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_1068417_1	k141_1068417	gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	82.4	34	43	1	34	225	1	34	1.53e-12	57.0		aminoglycoside	aminoglycoside__AAC(6')-Ib8	AAC(6')-Ib8	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	3.270793		bin_95	Binning	bin_95	0.057338063	3.3995066	0.45315883	1553.0566	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__JADJSS01 sp020636535
