qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-e_577476-checked_1.fq Relative Abundance (%)	s-e_577476-checked_1.fq Mean	s-e_577476-checked_1.fq RPKM	s-e_577476-checked_1.fq TPM	host_taxonomy
k141_3652647_2	k141_3652647	gb|BAD89844.2|ARO:3000753|abeM	82.1	447	454	1	447	448	1	447	1.0700000000000001e-252	693.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	3.1548183		bin_178	Binning	bin_178	0.042244826	2.3438745	0.43492913	1618.7057	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Caedibacter;s__Caedibacter taeniospiralis
k141_3928287_5	k141_3928287	YP_981592	83.8	37	41	1	37	277	239	275	1.12e-16	68.6		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.932509		bin_100	Binning	bin_100	0.110526524	6.1323557	1.1498137	4279.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__
k141_387904_9	k141_387904	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	10.201337	unmob	bin_134	Binning	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__
k141_387904_11	k141_387904	AY115475.1.gene4.p01	99.8	419	420	1	419	419	1	419	1.0899999999999999e-298	807.0		chloramphenicol	chloramphenicol__cmlA5	cmlA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	10.201337	unmob	bin_134	Binning	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__
k141_387904_12	k141_387904	NC_010410.6003052.p01	99.4	163	168	5	167	163	1	163	1.6100000000000002e-123	343.0		rifamycin	rifamycin__arr-2	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	plasmid	10.201337	unmob	bin_134	Binning	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__
k141_4252939_1	k141_4252939	YP_985461	81.6	196	196	1	196	274	6	201	6.59e-105	301.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.36463		bin_65	Binning	bin_65	0.19825536	10.999825	2.0713284	7709.0024	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_3127290_6	k141_3127290	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	62.62604	unmob	bin_97	Binning	bin_97	0.1562176	8.667439	1.6107192	5994.723	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925
k141_679641_6	k141_679641	AY743590.gene.p01	100.0	373	374	1	373	395	23	395	2.2399999999999997e-264	717.0		tetracycline	tetracycline__tet(39)	tet(39)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	15.696634	unmob	bin_126	Binning	bin_126	0.05746438	3.1883028	0.5920218	2203.3677	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__CAITNM01;g__CAITNM01;s__
k141_2055570_1	k141_2055570	HQ451074.1.gene4.p01	100.0	286	287	1	286	286	1	286	1.2899999999999998e-207	565.0		beta_lactam	beta_lactam__TEM-1	TEM	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	5.478268	unmob	bin_69	Hi-C	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2055570_2	k141_2055570	AY034847.1.gene1.p01	100.0	293	294	1	293	293	1	293	1.7e-211	576.0		beta_lactam	beta_lactam__KPC-2	KPC	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	5.478268	unmob	bin_69	Hi-C	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_1519055_142	k141_1519055	AAQ92181	98.9	1048	1050	1	1048	1048	1	1048	0.0	1950.0	multicomponent system	multidrug	multidrug__MexB	MexB	Efflux pump			Yes	Yes	Yes	IV	plasmid	65.5647	unmob	bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_1241769_2	k141_1241769	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.328205	unmob	bin_62	Hi-C	bin_62	0.20271584	11.247307	2.0961409	7801.3506	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__
k141_1785142_39	k141_1785142	gi|504907940|ref|WP_015095042.1|	96.5	1058	1065	1	1057	1059	1	1057	0.0	1930.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	43.478214		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_3158660_11	k141_3158660	gb|WP_043155783.1|ARO:3006477|MOX-12	99.0	383	384	1	383	383	1	383	6.069999999999999e-280	756.0		beta_lactam	beta_lactam__MOX-7	CMY-LAT-MOX	Enzymatic inactivation	Class C beta-lactamase					IV	plasmid	14.204566	unmob	bin_69	Binning	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_975670_1	k141_975670	gb|CFW94147.1|ARO:3003650|CTX-M-166	100.0	53	53	1	53	291	1	53	4.05e-27	97.1		beta_lactam	beta_lactam__CTX-M-1	CTX-M	Enzymatic inactivation	Class A beta-lactamase					IV	plasmid	4.088975	unmob	bin_177	Binning	bin_177	0.05341722	2.9637537	0.5525027	2056.2869	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp018054505
k141_2070436_4	k141_2070436	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	100.09489	unmob	bin_118	Hi-C	bin_118	0.126102	6.996532	1.3141524	4890.9688	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
k141_2070436_5	k141_2070436	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	91	92	1	91	115	25	115	2.28e-61	181.0		multidrug	multidrug__qacEdelta1								IV	plasmid	100.09489	unmob	bin_118	Hi-C	bin_118	0.126102	6.996532	1.3141524	4890.9688	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
k141_1268098_22	k141_1268098	YP_001140148	91.9	271	272	1	271	271	1	271	8.38e-176	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.51725		bin_69	Binning	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2668114_2	k141_2668114	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	60.411285	unmob	bin_117	Hi-C	bin_117	0.098906	5.4876127	1.0307748	3836.3044	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JADYYQ01;s__
k141_227061_3	k141_227061	gb|AAY32951.1|ARO:3002837|lnuC	98.2	164	165	1	164	164	1	164	4.2300000000000005e-123	342.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(C)	lnu(C)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	plasmid	5.279526	unmob	bin_48	Binning	bin_48	0.09439667	5.2374215	0.9750224	3628.8057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_770471_4	k141_770471	FM897214.1.orf2.gene.p01	92.8	83	84	1	83	150	68	150	2.6300000000000002e-56	169.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	1.7481436		bin_119	Binning	bin_119	0.09143559	5.073131	0.94352776	3511.5906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp008015595
k141_1871746_3	k141_1871746	AAR05762	100.0	301	302	1	301	301	1	301	1.78e-217	592.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	plasmid	18.568314	unmob	bin_69	Hi-C	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
